"﻿Област","Населено място","училище","училище","Училище","БЕЛ Ср.усп.","БЕЛ Бр.","МАТ Ср.усп.","МАТ Бр.","ИСТ Ср.усп.","ИСТ Бр.","ФА Ср.усп.","ФА Бр.","ГЕО Ср.усп.","ГЕО Бр.","ХООС Ср.усп.","ХООС Бр.","ФИЛ Ср.усп.","ФИЛ Бр.","БЗО Ср.усп.","БЗО Бр.","АЕ Ср.усп.","АЕ Бр.","РЕ Ср.усп.","РЕ Бр.","НЕ Ср.усп.","НЕ Бр.","ИспЕ Ср.усп.","ИспЕ Бр.","ФрЕ Ср.усп.","ФрЕ Бр.","ИтЕ Ср.усп.","ИтЕ Бр.","2ДЗИ Ср.усп.","2ДЗИ Бр.","ср.успех","общо"
"Кърджали","Джебел","Държавно","професионална гимназия","Професионална гимназия","2,85","27","","","","","","","","","","","","","3,08","24","5,64","1","","","","","","","","","","","3,187","25","3,01","52"
"Кърджали","Джебел","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,36","19","","","","","","","4,33","2","","","","","4,46","15","5,41","1","","","","","","","","","","","4,501","18","3,913","37"
"Кърджали","Припек","Държавно","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,69","8","","","","","","","3,46","3","","","","","3,8","5","","","","","","","","","","","","","3,674","8","3,683","16"
"Кърджали","Бенковски","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,07","32","4,83","3","5,15","1","","","3,5","5","5,78","1","","","4,02","17","4,79","3","","","","","","","","","","","4,19","30","4,128","62"
"Кърджали","Кирково","Държавно","професионална гимназия","Професионална гимназия   по машиностроене и лека промишленост","3","20","","","","","","","","","","","","","3,2","19","","","","","","","","","","","","","3,202","19","3,096","39"
"Кърджали","Кирково","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Отец Паисий""","4,02","28","4,37","3","","","","","","","","","","","4,55","25","","","","","","","","","","","","","4,533","28","4,276","56"
"Кърджали","Чорбаджийско","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,76","15","5,95","1","","","","","3,16","15","","","","","","","","","","","","","","","","","","","3,331","16","3,539","31"
"Кърджали","Крумовград","Държавно","професионална гимназия","Професионална гимназия по транспорт","3,03","31","","","","","","","2,75","32","","","","","","","","","","","","","","","","","","","2,749","32","2,886","63"
"Кърджали","Крумовград","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,33","65","4,64","8","5,98","1","","","3,59","21","","","","","4,8","26","5,46","10","","","5,58","1","","","","","","","4,529","67","4,429","132"
"Кърджали","Кърджали","Общинско","профилирана гимназия","Гимназия с преподаване на чужди езици  "" Христо Ботев "" - гр. Кърджали","4,87","166","4,48","37","5,64","1","","","3,9","9","","","4,36","2","4,14","19","5,32","71","","","5,22","27","","","","","","","4,894","166","4,885","332"
"Кърджали","Кърджали","Държавно","професионална гимназия","Професионална гимназия  ""Васил Левски""","3,1","3","","","","","","","2,87","4","","","","","","","","","","","","","","","","","","","2,87","4","2,967","7"
"Кърджали","Кърджали","Държавно","професионална гимназия","Професионална гимназия по електротехника и електроника","3,33","35","4,23","2","","","","","3,12","31","","","","","3,42","1","4,4","3","","","","","","","","","","","3,296","37","3,31","72"
"Кърджали","Кърджали","Държавно","професионална гимназия","Професионална гимназия по икономика","3,89","111","3,62","8","","","","","3,24","67","","","","","4,3","32","4,48","7","","","","","","","","","","","3,643","114","3,763","225"
"Кърджали","Кърджали","Държавно","професионална гимназия","Професионална гимназия  по облекло и дизайн","2,77","15","","","","","","","2,6","10","","","","","3,17","4","","","","","","","","","","","","","2,76","14","2,764","29"
"Кърджали","Кърджали","Държавно","професионална гимназия","Професионална гимназия   по селско и горско стопанство","2,76","30","2,66","1","","","","","2,69","28","","","","","","","","","","","","","","","","","","","2,689","29","2,727","59"
"Кърджали","Кърджали","Държавно","професионална гимназия","Професионална гимназия по   строителство","3,62","16","3,47","4","","","","","3,28","3","","","","","3,64","9","","","","","","","","","","","","","3,533","16","3,576","32"
"Кърджали","Кърджали","Държавно","професионална гимназия","Професионална гимназия    по туризъм","3,32","62","","","","","","","2,99","58","","","","","3,31","13","4,68","2","","","","","","","","","","","3,09","73","3,198","135"
"Кърджали","Кърджали","Общинско","СОУ с (присъединена) група в детска градина","Средно общообразователно училище","3,24","30","","","","","","","2,79","10","","","","","3,85","29","","","","","","","","","","","","","3,581","39","3,432","69"
"Кърджали","Кърджали","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище   с природоматематическа насоченост","4,01","71","4,16","22","","","","","3,45","4","","","4,28","2","5,07","33","5,13","8","5,85","1","","","","","","","","","4,688","70","4,347","141"
"Кърджали","Кърджали","Общинско","СОУ с (присъединена) група в детска градина","Средно общообразователно училище","4,08","85","3,83","8","","","5,92","1","4","26","","","3,29","1","4,31","23","4,81","26","3,47","2","","","","","","","","","4,308","87","4,196","172"
"Кърджали","Момчилград","Държавно","професионална гимназия","Професионална гимназия по машиностроене и   лека промишленост","2,63","23","","","","","","","2,52","8","","","","","2,79","15","","","","","","","","","","","","","2,697","23","2,663","46"
"Кърджали","Момчилград","Държавно","професионална гимназия","Професионална гимназия по туризъм и хранително-вкусова промишленост","3,24","37","","","","","","","4,49","1","","","","","3,63","36","","","","","","","","","","","","","3,655","37","3,445","74"
"Кърджали","Момчилград","Частно","гимназия (ІХ - ХІІ клас)","Средно Общообразователно Духовно Училище","3,84","31","","","","","","","3,81","15","","","4,75","1","5,13","14","","","","","","","","","","","","","4,459","30","4,143","61"
"Кърджали","Момчилград","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,05","34","3,82","2","3,8","2","","","","","","","4,32","1","4,73","27","4,78","3","","","","","","","","","","","4,615","35","4,335","69"
"Кърджали","Черноочене","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,61","27","","","","","","","","","","","","","4,39","27","","","","","","","","","","","","","4,388","27","4","54"
"Кюстендил","Бобов дол","Държавно","професионална гимназия","Професионална гимназия","3,07","13","","","","","","","2,89","12","","","","","3,68","3","","","","","","","","","","","","","3,05","15","3,058","28"
"Кюстендил","Бобов дол","Общинско","СОУ (І - ХІІ клас)","Средно   общообразователно училище   ""Христо Ботев""","3,33","18","2,92","1","","","","","2,82","14","","","","","3,9","1","5,65","1","","","","","","","","","","","3,053","17","3,193","35"
"Кюстендил","Дупница","Общинско","СОУ (І - ХІІ клас)","Вечерно   средно общообразователно училище","3,54","11","","","","","","","3,14","3","","","3,87","5","3,45","1","4,66","3","","","","","","","","","","","3,848","12","3,698","23"
"Кюстендил","Дупница","Общинско","профилирана гимназия","ГИМНАЗИЯ ""ХРИСТО БОТЕВ"" град ДУПНИЦА","4,95","102","4,49","22","4,75","1","","","3,16","5","3,17","1","4,33","20","5,14","23","5,18","31","","","","","","","","","","","4,738","103","4,842","205"
"Кюстендил","Дупница","Държавно","професионална гимназия","Професионална гимназия ""Акад. Сергей П. Корольов""","3,54","93","3,97","4","3,33","5","","","3,07","61","","","3,36","3","3,73","19","4,61","13","","","","","","","","","","","3,434","105","3,482","198"
"Кюстендил","Дупница","Общинско","професионална гимназия","Професионална гимназия   по хранително - вкусови и химични технологии","3,31","22","","","","","","","2,75","6","","","3,39","3","3,53","16","3,55","3","","","","","","","","","","","3,346","28","3,33","50"
"Кюстендил","Дупница","Държавно","професионална гимназия","Професионална гимназия по облекло и стопанско управление","3,6","49","","","4,29","1","3,98","1","3,6","9","","","3,76","8","3,6","21","4,22","8","","","","","","","","","","","3,754","48","3,677","97"
"Кюстендил","Дупница","Държавно","професионална гимназия","Професионална  гимназия по транспорт","3,27","20","","","2,85","2","","","2,83","11","","","2,91","11","3,17","2","","","","","","","","","","","","","2,893","26","3,056","46"
"Кюстендил","Дупница","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,4","42","4,88","3","3,45","1","","","3,23","5","","","4,38","1","4,52","11","5,12","19","","","","","5,51","3","","","","","4,702","43","4,553","85"
"Кюстендил","Бараково","Частно","професионална гимназия","Частна професионална гимназия   по предприемачество и нови технологии","3,42","4","","","","","","","3,93","2","","","","","4,04","2","","","","","","","","","","","","","3,985","4","3,703","8"
"Кюстендил","Кочериново","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Христо Ботев""","3,96","18","","","4,04","2","","","3,77","6","","","3,64","11","","","3,52","2","","","","","","","","","","","3,704","21","3,821","39"
"Кюстендил","Кюстендил","Държавно","професионална гимназия","Професионална гимназия по икономика   и мениджмънт","4,01","116","3,77","7","3,36","7","","","3,86","66","","","4,19","4","3,94","23","4,94","11","","","","","","","","","","","3,953","118","3,98","234"
"Кюстендил","Кюстендил","Общинско","профилирана гимназия","Гимназия ""Неофит Рилски"" гр. Кюстендил","3,28","11","","","2,79","1","","","2,92","3","","","","","3,24","6","4,65","2","","","","","","","","","","","3,358","12","3,321","23"
"Кюстендил","Кюстендил","Общинско","профилирана гимназия","Езикова гимназия  ""Д-р Петър Берон""","4,4","75","2,91","4","4,37","2","","","3,86","6","","","4,37","8","4,78","18","5,01","37","","","","","","","","","","","4,665","75","4,533","150"
"Кюстендил","Кюстендил","Общинско","профилирана гимназия","Природоматематическа гимназия ""Проф. Емануил Иванов""","4,97","73","4,81","22","4,35","1","6","1","4,56","10","6","1","5,19","6","4,88","15","5,17","15","","","","","5,68","1","","","","","4,933","72","4,951","145"
"Кюстендил","Кюстендил","Общинско","професионална гимназия","Професионална гимназия по селско стопанство","2,72","9","","","","","","","2,62","2","","","2,93","4","2,71","4","","","","","","","","","","","","","2,779","10","2,749","19"
"Кюстендил","Кюстендил","Държавно","професионална гимназия","Професионална гимназия по туризъм ""Н.Й.Вапцаров"" - Кюстендил","3,64","44","","","5,24","1","","","3,42","8","","","4,19","6","3,84","26","4,09","2","","","","","","","","","","","3,854","43","3,745","87"
"Кюстендил","Кюстендил","Държавно","професионална гимназия","Професионална гимназия по лека промишленост ""Владимир Димитров-Майстора""","2,93","8","","","","","","","2,75","1","","","","","3,03","6","","","","","","","","","","","","","2,993","7","2,957","15"
"Кюстендил","Кюстендил","Държавно","професионална гимназия","ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ ""ДЖОН АТАНАСОВ""","3,09","30","","","","","","","3,04","15","","","","","3,27","16","3,11","1","","","","","","","","","","","3,156","32","3,122","62"
"Кюстендил","Кюстендил","Общинско","спортно","Спортно училище ""Васил Левски""","3,06","37","","","2,4","1","","","3,36","4","","","","","3,3","28","3,41","2","","","","","","","","","","","3,291","35","3,174","72"
"Кюстендил","Сапарева баня","Държавно","професионална гимназия","ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТУРИЗЪМ И АДМИНИСТРАЦИЯ","3,74","22","","","","","","","","","","","","","3,74","18","4,98","4","","","","","","","","","","","3,966","22","3,85","44"
"Ловеч","Априлци","Общинско","професионална гимназия","Професионална гимназия по туризъм","3,46","11","","","","","","","3,73","9","","","","","","","","","","","","","","","","","","","3,733","9","3,586","20"
"Ловеч","Летница","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,43","18","","","","","","","2,7","1","","","","","3,72","17","3,75","1","","","","","","","","","","","3,671","19","3,556","37"
"Ловеч","Ловеч","Общинско","профилирана гимназия","Гимназия за чужди езици","5,42","182","5,02","22","","","5,58","1","4,37","6","5,95","1","4,84","1","5,77","10","5,54","78","","","5,24","53","","","5,15","10","","","5,34","182","5,38","364"
"Ловеч","Ловеч","Общинско","профилирана гимназия","ПРИРОДО-МАТЕМАТИЧЕСКА ГИМНАЗИЯ","4,48","88","4,71","23","4,38","4","","","3,84","13","","","4,06","10","5,36","21","5,03","18","","","","","","","","","","","4,714","89","4,596","177"
"Ловеч","Ловеч","Държавно","професионална гимназия","Професионална гимназия по механоелектротехника","3,39","72","5,07","1","4,37","5","","","2,96","47","","","3,41","2","3,41","2","3,57","15","","","","","","","","","","","3,237","72","3,311","144"
"Ловеч","Ловеч","Държавно","професионална гимназия","Професионална гимназия по ветеринарна медицина","3,51","37","3,5","1","2,74","2","","","3,66","3","","","3,5","1","4,02","29","3,38","1","","","","","","","","","","","3,88","37","3,693","74"
"Ловеч","Ловеч","Държавно","професионална гимназия","Професионална гимназия по кожарство облекло и химични технологии","3,37","22","","","2,86","1","","","2,9","20","","","3,58","2","3","1","","","","","","","","","","","","","2,96","24","3,153","46"
"Ловеч","Ловеч","Държавно","професионална гимназия","Професионална гимназия по икономика, търговия и услуги","3,72","53","2,35","1","","","","","3,14","45","","","2,4","1","4,29","10","3,66","3","","","5,21","1","","","","","","","3,363","61","3,531","114"
"Ловеч","Ловеч","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,96","20","","","4,63","2","","","3,61","12","","","3,76","4","","","3,41","2","","","","","","","","","","","3,722","20","3,841","40"
"Ловеч","Ловеч","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,78","20","","","5,38","2","","","3,26","17","","","3,59","4","5,08","3","5,38","1","","","","","","","","","","","3,743","27","3,759","47"
"Ловеч","Ловеч","Държавно","към местата за лишаване от свобода","Средно общообразователно училище ""Димитър Митев""","3,15","5","","","","","","","3,83","5","","","","","","","","","","","","","","","","","","","3,834","5","3,492","10"
"Ловеч","Луковит","Държавно","професионална гимназия","Професионална гимназия по селско стопанство","3,12","24","3,22","1","","","","","2,72","17","","","4,32","1","","","","","","","","","","","","","","","2,828","19","2,99","43"
"Ловеч","Луковит","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Алеко Константинов""","4,13","48","3,83","3","3,95","9","","","3,28","28","","","4,15","1","4,43","2","5,2","5","","","","","","","","","","","3,706","48","3,918","96"
"Ловеч","Тетевен","Държавно","професионална гимназия","Професионална гимназия по горско стопанство и дървообработване","3,65","47","","","3,44","2","","","3,16","36","","","","","4,3","6","4,29","4","","","","","","","","","","","3,41","48","3,53","95"
"Ловеч","Тетевен","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,73","72","3,65","5","3,77","5","","","3,55","8","","","","","3,76","49","4,41","4","","","","","","","","","","","3,764","71","3,746","143"
"Ловеч","Тетевен","Държавно","професионална гимназия","Професионална гимназия по строителство, електротехника и услуги","3,15","22","","","","","","","2,8","23","","","","","","","","","","","","","","","","","","","2,801","23","2,972","45"
"Ловеч","Троян","Държавно","професионална гимназия","Професионална гимназия по механоелектротехника","3,42","57","4,07","1","2,86","2","","","3,39","47","","","3,32","1","4,7","2","4,94","3","","","","","","","","","","","3,512","56","3,465","113"
"Ловеч","Троян","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,56","84","5,66","16","","","","","4,01","41","4,12","1","","","5,3","2","5,43","24","","","","","","","","","","","4,76","84","4,659","168"
"Ловеч","Троян","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Свети Климент Охридски""","4,49","40","5,27","6","5,45","2","","","4,26","20","","","","","","","5","13","","","","","","","","","","","4,698","41","4,595","81"
"Ловеч","Троян","Държавно","по изкуствата","Национална гимназия за приложни изкуства","4,18","11","","","3,61","5","","","3,42","3","","","","","","","4,38","3","","","","","","","","","","","3,768","11","3,976","22"
"Ловеч","Черни Осъм","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Васил Левски""","3,39","4","","","","","","","3,39","4","","","","","","","","","","","","","","","","","","","3,393","4","3,389","8"
"Ловеч","Угърчин","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Св.Св.Кирил и Методий""","3,37","28","","","","","","","3,15","28","","","","","","","5,15","1","","","","","","","","","","","3,223","29","3,295","57"
"Ловеч","Ябланица","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","2,83","13","","","2,4","1","","","","","","","","","2,87","12","","","","","","","","","","","","","2,837","13","2,834","26"
"Монтана","Берковица","Общинско","гимназия (ІХ - ХІІ клас)","Гимназия ""Д-р Иван Панов""","4,14","27","","","2,84","1","","","3,57","7","","","3,32","1","3,86","5","3,96","13","","","","","","","","","","","3,777","27","3,958","54"
"Монтана","Берковица","Държавно","професионална гимназия","Лесотехническа професионална гимназия","3,77","23","3,06","1","3,49","1","","","3,27","19","","","4,75","1","4,24","1","3,48","2","","","","","","","","","","","3,383","25","3,57","48"
"Монтана","Бойчиновци","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,07","6","","","","","","","2,48","1","","","","","3,6","5","","","","","","","","","","","","","3,413","6","3,241","12"
"Монтана","Владимирово","Държавно","професионална гимназия","Професионална гимназия по транспорт  ""Вл.П.Минчев""","2,98","24","","","","","","","2,75","13","","","","","3,4","6","","","2,85","10","","","","","","","","","2,919","29","2,947","53"
"Монтана","Брусарци","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище   ""Христо Ботев""","2,63","20","","","3,81","1","","","2,62","7","","","","","2,73","9","","","","","","","","","","","","","2,75","17","2,685","37"
"Монтана","Вълчедръм","Общинско","гимназия (ІХ - ХІІ клас)","Гимназия Димитър Маринов""","4,07","6","","","","","","","4,12","4","","","","","4,6","2","","","","","","","","","","","","","4,277","6","4,173","12"
"Монтана","Вършец","Общинско","професионална гимназия","Професионална гимназия   по икономика и туризъм","3,31","33","4,84","1","","","","","3,25","13","","","","","3,34","16","4,98","2","5,89","1","","","","","","","","","3,53","33","3,42","66"
"Монтана","Вършец","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище „Иван Вазов“","4,1","32","4,89","2","","","5,65","1","3,56","9","","","","","4,46","12","4,6","7","","","","","","","","","","","4,297","31","4,196","63"
"Монтана","Георги Дамяново","Държавно","професионална гимназия","Професионална гимназия   по селско стопанство","2,98","12","","","","","","","2,92","12","","","","","","","","","","","","","","","","","","","2,923","12","2,952","24"
"Монтана","Ковачица","Държавно","професионална гимназия","Професионална гимназия по селско стопанство","2,89","24","","","","","","","2,74","23","","","","","","","","","","","","","","","","","","","2,737","23","2,814","47"
"Монтана","Лом","Държавно","професионална гимназия","Професионална гимназия по производствени технологии","3,33","54","","","","","","","3,14","56","","","","","4,41","1","3,51","2","","","","","","","","","","","3,177","59","3,249","113"
"Монтана","Лом","Държавно","професионална гимназия","Професионална гимназия по хранене и   земеделие","3,32","31","","","4,41","1","","","2,84","22","","","","","3,23","8","3,38","1","","","","","","","","","","","3,004","32","3,16","63"
"Монтана","Лом","Общинско","профилирана гимназия","Профилирана гимназия ""Найден Геров""","4,7","51","3,56","2","4,84","3","","","3,66","12","","","","","4,92","16","5,4","18","","","","","","","","","","","4,736","51","4,717","102"
"Монтана","Лом","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Димитър Маринов""","4,28","39","","","4,61","2","","","3,12","18","","","3,95","14","5,67","1","5,6","6","","","","","","","","","","","3,902","41","4,088","80"
"Монтана","Лом","Общинско","СОУ с (присъединена) група в детска градина","Средно общообразователно училище  ""Отец Паисий""","2,98","6","","","","","","","3,09","6","","","","","","","","","","","","","","","","","","","3,088","6","3,036","12"
"Монтана","Медковец","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,48","17","","","","","","","","","","","","","4,09","16","","","","","","","","","","","","","4,094","16","3,778","33"
"Монтана","Монтана","Общинско","СОУ (І - ХІІ клас)","Второ средно общообразователно  училище","3,46","14","","","","","","","3,82","5","","","","","3,82","7","3,84","1","","","","","","","","","","","3,821","13","3,636","27"
"Монтана","Монтана","Общинско","профилирана гимназия","Гимназия с преподаване на чужди езици","4,87","89","4,58","5","5,07","3","","","4,67","7","","","3,78","1","5,24","6","4,89","48","5,34","2","5,05","17","","","","","","","4,91","89","4,891","178"
"Монтана","Монтана","Общинско","СОУ (І - ХІІ клас)","Девето средно общообразователно училище","3,73","1","","","","","","","3,47","3","","","","","","","","","","","","","","","","","","","3,467","3","3,533","4"
"Монтана","Монтана","Общинско","СОУ (І - ХІІ клас)","Осмо средно общообразователно училище","3,71","15","","","","","","","3,45","2","","","","","4,34","11","5,63","2","","","","","","","","","","","4,394","15","4,051","30"
"Монтана","Монтана","общинско","общообразователно","5 СОУ ""Христо Ботев""","2,76","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2,763","3"
"Монтана","Монтана","Общинско","профилирана гимназия","Природо-математическа гимназия","4,5","66","5,1","8","4,67","1","","","4,9","5","5,51","3","3,64","3","5,03","19","5,03","24","","","","","","","","","","","4,983","63","4,737","129"
"Монтана","Монтана","Държавно","професионална гимназия","Професионална гимназия по строителство, архитектура и геодезия ""Проф. арх. Стефан Стефанов""","3,56","90","4,86","3","3,17","2","","","3,61","54","4,61","1","","","4,24","22","4,34","12","","","","","","","","","","","3,894","94","3,733","184"
"Монтана","Монтана","Държавно","професионална гимназия","Професионална гимназия  по лека промишленост","3,16","31","","","","","","","2,68","9","","","3,39","4","3,36","17","5,32","1","","","","","","","","","","","3,232","31","3,196","62"
"Монтана","Монтана","Общинско","СОУ (І - ХІІ клас)","Седмо средно  общообразователно  училище","3,13","13","","","2,68","3","","","2,78","3","","","3,22","6","2,51","2","","","","","","","","","","","","","2,906","14","3,015","27"
"Монтана","Монтана","Държавно","професионална гимназия","Финансово-стопанска гимназия ""Васил Левски""","4,44","97","4,71","2","","","","","4,62","21","","","3,85","5","4,64","59","4,91","13","","","","","","","","","","","4,632","100","4,535","197"
"Монтана","Монтана","Държавно","професионална гимназия","Професионална гимназия по техника и електротехника","3,64","84","5,21","1","3,77","3","3,62","2","3,24","36","","","","","3,9","33","4,32","13","","","","","","","","","","","3,697","88","3,67","172"
"Пазарджик","Батак","Държавно","професионална гимназия","Професионална гимназия  по горско стопанство и дървообработване","3,29","31","3,36","1","","","","","3,79","9","","","","","3,5","20","","","","","","","","","","","","","3,579","30","3,433","61"
"Пазарджик","Нова махала","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","2,67","5","","","","","","","","","","","","","2,83","2","","","","","","","","","","","","","2,825","2","2,714","7"
"Пазарджик","Белово","Общинско","СОУ (І - ХІІ клас)","СРЕДНО  ОБЩООБРАЗОВАТЕЛНО   УЧИЛИЩЕ","4,44","19","","","","","","","","","","","4,31","3","5,38","11","5,13","2","","","","","","","","","","","5,146","16","4,761","35"
"Пазарджик","Брацигово","Общинско","професионална гимназия","Професионална гимназия          по строителство и архитектура","2,75","3","","","","","","","2,64","2","","","","","3,9","1","","","","","","","","","","","","","3,057","3","2,903","6"
"Пазарджик","Брацигово","Общинско","V - ХІІ клас","Средно общообразователно училище","3,83","5","","","","","","","","","","","3,28","1","2,95","6","4,34","2","","","","","","","","","","","3,297","9","3,486","14"
"Пазарджик","Велинград","Държавно","професионална гимназия","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ","2,92","67","","","","","","","","","","","","","3,12","67","","","","","","","","","","","","","3,125","67","3,02","134"
"Пазарджик","Велинград","Държавно","професионална гимназия","Професионална гимназия по горско стопанство ""Христо Ботев""","3,69","48","5,51","1","3,4","2","","","3,25","13","","","","","4,15","30","4,81","1","","","","","","","","","","","3,916","47","3,801","95"
"Пазарджик","Велинград","Държавно","професионална гимназия","Професионална  гимназия  по   икономика и туризъм","3,5","109","","","","","","","3,22","109","","","","","3,75","4","5,15","1","","","","","","","","","","","3,253","114","3,372","223"
"Пазарджик","Велинград","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно   училище ""Св. св. Кирил и Методий""","4,28","38","","","","","","","3,78","17","","","","","4,67","6","4,64","15","","","","","","","","","","","4,258","38","4,268","76"
"Пазарджик","Велинград","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,85","53","4,25","3","","","","","3,55","21","5,13","2","","","5,11","7","5,46","21","","","","","","","","","","","4,593","54","4,723","107"
"Пазарджик","Драгиново","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно  училище ""Методий Драгинов""","2,98","9","","","","","","","2,9","9","","","","","","","","","","","","","","","","","","","2,902","9","2,943","18"
"Пазарджик","Света Петка","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,39","16","","","","","","","3,25","15","","","","","4,71","3","","","","","","","","","","","","","3,497","18","3,447","34"
"Пазарджик","Пазарджик","Общинско","гимназия (ІХ - ХІІ клас)","Гимназия ""Иван Сергеевич Аксаков""","4,08","26","","","3,46","3","","","3,82","2","","","3,26","2","4,67","12","4,6","8","","","","","","","","","","","4,347","27","4,218","53"
"Пазарджик","Пазарджик","Общинско","профилирана гимназия","ЕЗИКОВА ГИМНАЗИЯ ""БЕРТОЛТ БРЕХТ""","5,26","231","4,82","10","4,18","7","","","4,21","11","5,8","2","3,81","3","4,41","18","5,3","160","","","5,6","19","","","5,27","2","","","5,135","232","5,196","463"
"Пазарджик","Пазарджик","Общинско","профилирана гимназия","МАТЕМАТИЧЕСКА    ГИМНАЗИЯ   „Константин Величков”","4,79","87","4,92","14","4,86","6","","","4,03","19","5,29","1","4,8","4","5,16","14","5,07","30","","","","","","","","","","","4,81","88","4,801","175"
"Пазарджик","Пазарджик","Държавно","професионална гимназия","Професионална гимназия по селско стопанство ""Царица Йоанна""","2,97","51","","","2,79","3","","","2,84","10","","","3,56","1","3,02","30","3,87","2","","","","","","","","","","","3,016","46","2,994","97"
"Пазарджик","Пазарджик","Държавно","професионална гимназия","Професионална гимназия по   икономика и мениджмънт","4,46","176","4,37","8","4,09","3","","","3,93","36","","","4,32","15","4,53","93","4,55","21","4,92","1","","","","","","","","","4,38","177","4,419","353"
"Пазарджик","Пазарджик","Държавно","професионална гимназия","Професионална гимназия по облекло","3,37","12","","","","","","","","","","","3,06","1","3,8","11","","","","","","","","","","","","","3,74","12","3,557","24"
"Пазарджик","Пазарджик","Държавно","професионална гимназия","ПРОФЕСИОНАЛНА  ГИМНАЗИЯ   ПО ПРОМИШЛЕНИ ТЕХНОЛОГИИ","2,91","12","","","","","","","2,62","1","","","","","3,6","8","","","","","","","","","","","","","3,492","9","3,161","21"
"Пазарджик","Пазарджик","Държавно","професионална гимназия","Професионална гимназия  по строителство и архитектура","3,39","84","","","4,16","4","","","3,06","16","","","","","3,67","65","4,42","4","","","","","","","","","","","3,613","89","3,506","173"
"Пазарджик","Пазарджик","Държавно","професионална гимназия","Професионална гимназия   по химични и хранителни технологии","3,54","61","","","","","","","3,06","4","","","","","3,71","48","3,82","5","","","","","","","","","","","3,673","57","3,606","118"
"Пазарджик","Пазарджик","Държавно","професионална гимназия","Професионална гимназия   по механоелектротехника","3,6","101","4,42","8","","","","","3,38","44","","","","","3,68","35","4,32","20","","","","","","","","","","","3,733","107","3,667","208"
"Пазарджик","Пазарджик","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,92","30","3,5","1","","","","","4,78","1","","","3,3","6","4,08","18","4,94","4","","","","","","","","","","","4,043","30","3,98","60"
"Пазарджик","Пазарджик","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,92","28","","","4,33","2","","","3,05","2","","","3,87","2","3,94","18","4,2","2","","","","","","","","","","","3,914","26","3,916","54"
"Пазарджик","Пазарджик","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,58","20","","","3,22","3","","","3,22","2","","","3,36","1","3,68","12","4,04","4","","","","","","","","","","","3,627","22","3,602","42"
"Пазарджик","Панагюрище","Държавно","професионална гимназия","ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО   ИНДУСТРИАЛНИ ТЕХНОЛОГИИ, МЕНИДЖМЪНТ И ТУРИЗЪМ","3,52","85","","","3,9","2","","","3,01","45","","","3,51","10","3,63","16","4,05","7","","","","","","","","","","","3,311","80","3,421","165"
"Пазарджик","Панагюрище","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,85","52","4,18","1","","","","","2,53","1","","","","","5,13","23","4,95","27","","","","","","","","","","","4,97","52","4,908","104"
