"﻿""Област""","Населено място","Тип","Име на училище","Общ брой ученици","География и икономика / Макс 18","История и цивилизация / Макс 18","Физика и астрономия / Макс 15","Химия и опазване на околната среда / Макс 15","Биология и здравно образование / Макс 15","Чужд език / Макс 35","Български език и литература / Макс 65","Математика / Макс 65"
"Благоевград","Благоевград","град","ІІ ОУ ""Д. Благоев""","51","13.29","13.16","11.04","11.69","10.61","26.25","33.02","23.86"
"Благоевград","Благоевград","град","ІV ОУ ""Димчо Дебелянов""","39","14.31","13.1","9.56","10.54","9.62","24.08","35.19","29.62"
"Благоевград","Благоевград","град","VІІ СОУ","60","13.78","13.15","10.7","11.12","10.1","25.69","39.11","33.2"
"Благоевград","Благоевград","град","ХІ ОУ  ""Христо Ботев""","45","14.05","14.28","11.38","12.3","10.59","25.05","36.01","32.92"
"Благоевград","Благоевград","град","ПМГ ""Акад. С. П. Корольов""","30","16.17","15.33","12.2","12.33","10.73","33.03","51.3","56.33"
"Благоевград","Благоевград","град","СОУИЧЕ ""Св. Кл. Охридски""","59","14.2","11.73","8.59","7.57","8.2","23.93","31.57","25.64"
"Благоевград","Благоевград","град","ІІІ ОУ ""Д.Талев""","122","15.73","15.03","11.68","11.34","12.19","29.73","44.47","37.92"
"Благоевград","Гърмен","село","СОУ""Св.св.Кирил и Методий","24","8.15","8.75","6.33","5.67","5.95","15.39","25.9","20.06"
"Благоевград","Благоевград","град","VІІІ СОУ ""Арсени Костенцев""","77","14.13","12.64","9.83","10.21","10.97","25.45","33.06","30.57"
"Благоевград","Благоевград","град","ІХ ОУ ""Пейо Кр. Яворов""","19","10.79","10.71","7.38","6.75","7.31","18.44","13.44","11"
"Благоевград","Благоевград","град","Национална хуманитарна гимназия ""Св.св.Кирил и Методий""","","","","","","","","",""
"Благоевград","Благоевград","град","VI СОУ ""Иван Вазов""","55","14.47","12.31","11.42","9.92","10.28","23.94","35.98","25.58"
"Благоевград","Гоце Делчев","град","ПМГ ""Яне Сандански""","29","14.93","14.48","11.76","11.24","9.69","31.24","41.79","45.48"
"Благоевград","Места","село","ОУ ""Св. св. Кирил и Методий""","13","15.55","14.18","10.27","12.36","9.91","20.82","33.33","11.42"
"Благоевград","Благоевград","град","V СОУ ""Георги Измирлиев""","37","11.89","12.19","9.06","6.11","8.89","24.94","31.3","30.56"
"Благоевград","Сандански","град","ІІ ОУ""Хр.Смирненски""","69","12.51","12.44","9.41","9.42","9.32","24.65","32.14","31.88"
"Благоевград","Рибново","село","СОУ""Йордан Йовков""","36","9.72","13.45","8.28","7.83","7.28","20.73","22.93","23.85"
"Благоевград","Огняново","село","ОУ""П.К.Яворов""","21","10.86","11","9.81","9.71","9.48","19","28.21","30.86"
"Благоевград","Дебрен","село","ОУ ""Св. Климент Охридски""","20","13.83","14.28","10.05","9.25","9.95","21.45","22.65","28.8"
"Благоевград","Горно Дряново","село","ОУ""Св.Паисий Хилендарски""","9","12.17","13.33","9.5","11","10.33","18.33","35.64","27"
"Благоевград","Долно Дряново","село","ОУ ""Христо Ботев""","14","12","12.64","12.79","11.57","11.29","26.64","35.14","25.07"
"Благоевград","Хвостяне","село","ОУ ""Димитър Талев""","10","11.2","10","7.5","6.8","6.1","16.8","14.75","11.2"
"Благоевград","Дъбница","село","ОУ Дъбница","18","14.35","13.06","9.88","9.29","10.18","21.29","33.16","19.88"
"Благоевград","Симитли","град","СОУ""Св.Св.Кирил и Методий""","78","13.96","11.37","9.25","8.08","10.22","22.33","30.11","20.5"
"Благоевград","Петрич","град","СОУ""Никола Й.Вапцаров""","96","13.64","13.01","10.63","9.58","10.5","23.68","31.34","23.21"
"Благоевград","Брезница","село","СОУ-Брезница","27","13.81","13.04","11.04","8.92","8.88","23.74","31.67","21.78"
"Благоевград","Гоце Делчев","град","І ОУ ""Св.Св. Кирил и Методий""","74","13.25","12.88","9.82","9.9","11.08","24.32","35.72","24.3"
"Благоевград","Гоце Делчев","град","ІІ ОУ""Гоце Делчев""","50","14.2","12.41","9.56","9.16","9.12","22.41","33.88","20.93"
"Благоевград","Гоце Делчев","град","ІІІ -то ОУ""Братя Миладинови""","23","13.19","12.19","8.71","7.33","8","19.43","26.52","14"
"Благоевград","Мусомища","село","ОУ  ""Христо Ботев""","18","11.17","10.39","7.44","7.72","8.11","14.78","26.17","18.89"
"Благоевград","Борово","село","ОУ ""Св.Климент Охридски""","10","13.3","10.7","9.4","11.8","8.9","18.4","28.44","16.67"
"Благоевград","Буково","село","ОУ "" Иван Вазов""","10","13.2","12.5","8.1","10.2","9.3","19.2","36.4","17.7"
"Благоевград","Баничан","село","ОУ ""Свети Паисий Хилендарски""","9","16.43","14.57","9.5","10.75","9.75","19.57","22.06","11.88"
"Благоевград","Лъжница","село","ОУ ""Петър Берон""","21","11.76","10.9","9.95","9.81","8.95","21.5","29.67","23.48"
"Благоевград","Корница","село","ОУ""Св. Паисий Хилендарскси""","19","14.84","14.68","13.05","12.21","11.79","29.38","31.32","33.16"
"Благоевград","Разлог","град","СОУ""Бр.Каназиреви""","38","14.59","13.14","10","11.03","8.7","25.96","36.27","36.43"
"Благоевград","Разлог","град","ОУ Никола Парапунов","77","13.9","13.36","9.57","7.99","8.45","22.42","26.12","21.45"
"Благоевград","Баня","село","ОУ ""Св. Паисий Хилендарски""","33","11.96","11.71","9.79","9.96","9.82","18.71","24.55","18.29"
"Благоевград","Бачево","село","ОУ ""Св. Св. Кирил и Методий""","13","10.38","12","8.23","6.54","7.92","21.45","28.83","28.08"
"Благоевград","Горно Драглище","село","ОУ ""Неофит Рилски""","10","13.67","14.11","11.33","11.78","12.22","25","31.75","28.5"
"Благоевград","Елешница","село","ОУ""Братя Миладинови""","5","9.6","9.2","8.6","6.8","9.2","20.8","12.2","12.2"
"Благоевград","Петрич","град","СОУ ""Антон Попов""","19","12.79","13.42","11.74","8.89","9.95","25.95","24.74","24.63"
"Благоевград","Коларово","село","СОУ ""Васил Левски""","17","13.35","13.41","11.65","10.59","10.71","21.94","33.12","26.12"
"Благоевград","Първомай","село","СОУ ""Св.Паисий Хилендарски""","39","12.42","11.32","10.68","8.05","8.87","23.32","32.38","21.97"
"Благоевград","Скрът","село","ОУ ""Пейо Крачолов Яворов""","13","14.23","14.46","9.46","9.92","9.54","19.15","31.46","21"
"Благоевград","Петрич","град","І-во ОУ""Кочо Мавродиев""","55","13.96","13.98","10.94","9.57","9.43","25.96","32.09","26.13"
"Благоевград","Петрич","град","ІІІ ОУ ""Гоце Делчев""","53","14.88","14.84","11.3","9.74","9.76","28.1","37.32","33.12"
"Благоевград","Петрич","град","ІV ОУ ""Хр. Смирненски""","49","11.8","12.33","10","9.94","9.92","22.27","27.79","21.29"
"Благоевград","Михнево","село","ОУ ""Екзарх Йосиф""","17","14.69","16.88","11.75","10","10.25","25.81","24.5","36.44"
"Благоевград","Рупите","село","ОУ ""Св.св. Кирил и Методий""","17","10.6","9.8","7.69","7.46","8.62","16.11","12.42","14.5"
"Благоевград","Марикостиново","село","ОУ ""Св.Св.Кирил и Методий""","12","13.25","14.92","9.33","9.17","10.42","23.58","26.46","17.67"
"Благоевград","Кулата","село","ОУ ""Св.Св.Кирил и Методий""","12","12.33","12.42","10.5","10.7","10.2","22.4","23.44","17.86"
"Благоевград","Беласица","село","ОУ""Хр.Ботев""","11","14.2","12","11.44","10.56","10.33","25.5","26.14","19.27"
"Благоевград","Кавракирово","село","ОУ ""Св.Св.Кирил и Методий""","17","9.73","9.73","7.69","8.31","9.62","20.33","21.93","16"
"Благоевград","Кърналово","село","ОУ ""Братя Миладинови""","11","9.7","9.3","8.27","7.36","7.55","22.14","26.14","23.55"
"Благоевград","Сандански","град","І ОУ ""Св. Климент Охридски""","58","14.71","13.62","11.09","11.52","9.97","25.47","38.16","32.4"
"Благоевград","Сандански","град","ІІІ ОУ ""Христо Ботев""","91","12.7","11.07","9.22","8.15","7.83","22.67","28.29","22.71"
"Благоевград","Сандански","град","ІV-то ОУ ""Св.Св.Козма и Дамян""","41","11.92","11.42","8.53","8.68","7.26","21.17","23","15.95"
"Благоевград","Склаве","село","ОУ ""Бр.Миладинови""","18","11.94","9.59","9.47","9.18","7.88","17.41","22.75","18.33"
"Благоевград","Дамяница","село","ОУ""Св.Св.Кирил и Методий""","19","11.83","12.11","7.89","7","7.33","18.5","25.54","19.08"
"Благоевград","Катунци","село","ОУ""Хр.Ботев""","9","8.12","6","5.5","7.62","10.88","17.38","17.88","12.75"
"Благоевград","Белица","град","СОУ"" Св.св.Кирил и Методий""","52","12.18","9.1","9.8","8.9","9.43","21.46","21.95","17.41"
"Благоевград","Краище","село","ОУ""Св.П.Хилендарски""","33","12.55","11.32","8.72","9.5","9.91","20.84","28.61","39.16"
"Благоевград","Горно Краище","село","ОУ ""П.К.Яворов""","12","12.42","9.75","10.92","10","9","19.67","40.92","30.92"
"Благоевград","Бабяк","село","ОУ""Св.св.Кирил и Методий""","15","12.47","14.6","10.73","12","11.67","22.27","35.3","39.8"
"Благоевград","Кресна","град","СОУ ""Св.Паисий Хилендарски""","40","13.26","12.21","8.33","9.13","8.33","19.13","30.87","23.76"
"Благоевград","Банско","град","СОУ""Неофит Рилски""","60","13.48","12.1","9.39","8.25","8.15","20.53","32.33","28.22"
"Благоевград","Добринище","град","ОУ""Св. Кл. Охридски""","22","12.2","10.4","8.37","7.74","8.47","21.5","32.92","22.11"
"Благоевград","Смолево","село","ОУ""Гоце Делчев""","21","14.63","13.79","11.53","12.68","9","17.84","23.79","18.63"
"Благоевград","Якоруда","град","СОУ ""Св. Св. Кирил и Методий""","35","13.06","13","10.61","10.61","9.97","24.55","37.33","49.91"
"Благоевград","Конарско","село","ОУ""Братя Миладинови""","14","15.57","17.14","12.79","11.5","11.36","21.5","25.57","18.17"
"Благоевград","Юруково","село","ОУ ""Васил Левски""","13","12.69","13","11.15","10.92","12.38","24.77","37.27","26.77"
"Благоевград","Хаджидимово","град","СОУ ""Никола Й. Вапцаров""","22","12.11","9.74","8.05","7.68","8.64","20.1","27.85","23.3"
"Благоевград","Копривлен","село","ОУ ""Никола Вапцаров""","9","13.89","12.22","10.22","9.56","8.89","20.56","34.33","23.67"
"Благоевград","Абланица","село","СОУ ,,Св. Паисий Хилендарски""","35","13.2","13.63","10","8.79","9.32","20.41","34.2","24.51"
"Благоевград","Беслен","село","ОУ ""Гоце Делчев""","12","13.17","13.58","12.58","14.33","11.67","22.08","35.88","34.67"
"Благоевград","Микрево","село","СОУ ""Св. Паисий Хилендарски""","37","11.42","9.88","8.59","8.18","6.56","18.12","22.15","19.85"
"Благоевград","Вълкосел","село","СОУ ""Христо  Ботев""","40","15.59","13.19","10.71","11.66","11.34","21.87","30.39","34.86"
"Благоевград","Слащен","село","СОУ ""Свети Климент Охридски""","17","13.18","12.76","11.24","9.88","9.88","22.53","23.38","36.24"
"Благоевград","Годешево","село","ОУ ""Братя Миладинови""","4","13","12.5","11.25","9.75","10.25","26.5","35.75","17.25"
"Благоевград","Туховища","село","ОУ""Св. Св. Кирил и Методий""","12","15.67","14.83","12.92","11.67","12.42","24.25","26.83","32.92"
"Благоевград","Сатовча","село","СОУ ""Св.св. Кирил и Методий""","26","10.88","10.8","7.92","8.04","6.79","18.32","29.72","19.76"
"Благоевград","Крибул","село","О У ""Светлина""","6","11.67","11.33","7.67","8","7","14.5","31.92","20.33"
"Благоевград","Плетена","село","ОУ ""Св.Св.Кирил и Методий""","14","12.36","11.43","9.93","8.93","8.57","24","29.29","27.36"
"Благоевград","Кочан","село","СОУ ""Хр. Смирненски""","13","15.54","15.08","11.69","11.69","12.23","26","35.12","41.15"
"Благоевград","Ваклиново","село","ОУ ""Стефка Събчева""","6","17","13.83","13.33","12.67","9.33","24.17","33.67","40.33"
"Благоевград","Долен","село","ОУ Долен","9","13","13.44","10.44","11.56","11.44","22.67","39","32.33"
"Благоевград","Крупник","село","СОУ""Св.св.Кирил и Методий""","21","11.75","12.5","7.38","8.75","6.88","17.81","27","19.83"
"Благоевград","Долно Осеново","село","ОУ ""Св. Паисий Хилендарски ""","11","8.18","9.64","6.27","6.09","5.45","13.64","27.82","11.09"
"Благоевград","Сандански","град","Спортно училище","25","10.96","10.74","7.95","5.59","5.5","13.27","18.76","10.32"
"Бургас","Айтос","град","ОУ ""Атанас Манчев""","42","8.08","7.92","6.82","6.38","6.05","14.38","14.05","20.36"
"Бургас","Карагеоргиево","село","ОУ""Св.Св.Кирил и Методий""","10","11","10.3","9.1","9.7","7.9","20.4","26.3","30.5"
"Бургас","Мъглен","село","Основно училище ""Хр.Ботев""","15","10.43","8.43","7.5","8.93","8.86","16","18","20.87"
"Бургас","Пирне","село","ОУ ""Хр.Ботев""","19","13.26","10.79","8.89","8.21","9.32","18.68","31.63","32.53"
"Бургас","Тополица","село","ОУ ""Светлина""","10","10.62","8.12","8.44","6.67","7.67","22.63","30.06","15.88"
"Бургас","Айтос","град","СОУ ""Христо Ботев""","97","13.53","13.38","9.47","10.15","9.03","20.38","33.74","24.34"
"Бургас","Айтос","град","СОУ ""Н. Й. Вапцаров""","53","13.25","12.77","9.09","9.77","11.06","23.85","31.75","30.75"
"Бургас","Бургас","град","ОУ ""П. Р. Славейков""","75","15.76","16.76","10.7","10.63","10.66","30.24","42.19","39.49"
"Бургас","Бургас","град","ОУ "" Св. княз Борис І""","44","15.23","13.81","9.07","9.67","10.77","26.7","43.77","31.79"
"Бургас","Бургас","град","ОУ"" Л. Каравелов  ""","64","13.93","12.42","11.84","10.31","10.38","23.91","39.15","30.71"
"Бургас","Бургас","град","ОУ""Найден Геров""","65","12.93","11.16","8.58","8.35","8.88","17.82","35.12","24.11"
"Бургас","Бургас","град","ОУ""Антон Страшимиров""","148","14.31","13.75","11.03","10.97","10.79","26.29","46.44","37.94"
"Бургас","Бургас","град","ОУ""Св.Климент Охридски""","63","14.69","15.35","11.42","12.03","10.55","26.68","45.99","37.57"
"Бургас","Бургас","град","ОУ ""Георги Бенковски""","39","13.84","12.03","9.87","9.08","9.13","27","47.55","37.05"
"Бургас","Бургас","град","ОУ "" П. К. Яворов""","41","14.53","13.05","10.88","11.03","9.15","29.53","44.2","34.52"
"Бургас","Бургас","град","ОУ "" Васил Априлов ""","114","16.12","16.07","11.68","12.74","12.06","31.67","45.23","37.75"
"Бургас","Бургас","град","ОУ""Братя Миладинови""","181","15.44","15.05","12.56","12.46","12.59","30.87","43.33","38.65"
"Бургас","Бургас","град","ОУ ""Елин Пелин""","105","13.79","14.16","10.84","9.94","11.83","25.07","41.77","32.12"
"Бургас","Бургас","град","ОУ ""Васил Левски"" - Бургас","49","6.52","6.52","5.2","5.41","5.48","13.3","6.61","6.98"
"Бургас","Бургас","град","ОУ ""Хр. Ботев""","14","14.86","12.79","8.71","9.43","9","22.86","29.21","19.21"
"Бургас","Бургас","град","ОУ ""Христо Ботев""","64","7.66","8.36","8.27","6.24","7.71","12.22","8.46","7"
"Бургас","Бургас","град","ОУ "" Христо Ботев""","26","11.52","12.12","9.36","7.44","9.56","21.84","35.22","24.04"
"Бургас","Българово","град","ОУ""В.Левски ""","11","10.09","8.91","7","7.82","5.36","18.36","30.41","23.36"
"Бургас","Бургас","град","СОУ ""Хр. Ботев""","12","13.4","13.2","9.6","10.8","11.1","20.1","22.95","12.56"
"Бургас","Бургас","град","ОУ""Иван Вазов""","18","11.33","13.06","10.39","9.39","9.5","25.44","33.41","29.71"
"Бургас","Бургас","град","ОУ ""Христо Ботев""","15","13.69","13.77","11.07","9.21","8.86","23.69","39.64","32.21"
"Бургас","Маринка","село","ОУ""Хр.Ботев""","11","11.4","11","9","6.78","8.33","21.44","24.5","16.89"
"Бургас","Равнец","село","ОУ ""Св.Св. К. и Методий""","14","10.86","10.43","8","9.17","9.58","21.25","12.33","21.25"
"Бургас","Рудник","село","ОУ ""Св. Климент Охридски""","23","10.94","10.25","8.06","4.56","6.19","17.63","16.97","13.53"
"Бургас","Бургас","град","СОУ ""Иван Вазов""","21","12.11","9.39","5.76","8.47","8.24","14","14.47","11.39"
"Бургас","Бургас","град","СОУ "" Йордан Йовков""","27","14.04","13.24","10.36","10.24","11.2","21.12","40.56","26.92"
"Бургас","Бургас","град","СОУ ""Еп. Константин Преславски","53","13","11.98","9.28","8.11","9.09","24","32.06","28.7"
"Бургас","Бургас","град","СОУ  ""Димчо Дебелянов""","49","13.75","12.55","9.93","9.53","10.19","27.36","43.18","32.29"
"Бургас","Бургас","град","СОУ ,,Добри Чинтулов""","22","16.36","15.5","12.59","11.64","10.23","27","38.68","31.36"
"Бургас","Бургас","град","СОУ ""К. Петканов""","47","13.03","9.55","9","7.89","8.08","20.86","30.44","23.9"
"Бургас","Бургас","град","СОУ "" Петко Росен""","92","13.11","12.06","9.09","8.79","9.4","21.47","36.15","25.17"
"Бургас","Бургас","град","СОУ ""Св.Св.Кирил и Методий""","91","14.41","13.24","9.51","7.28","10.25","25.52","39.49","31.89"
"Бургас","Бургас","град","ПМГ ""Акад. Никола Обрешков""","114","16.74","16.22","12.39","12.7","11.75","29.64","55.69","60.77"
"Бургас","Бургас","град","СУ ""Юрий Гагарин""","50","13.13","11.26","8.45","9.18","7.84","17.03","26.72","18.91"
"Бургас","Бургас","град","ПЧПУ","18","16.78","15.5","10.83","12.11","12.39","28.89","53.78","56"
"Бургас","Бургас","град","ЧОУ Бургас","1","18","18","15","15","15","31","47","47"
"Бургас","Русокастро","село","ОУ "" Иван Вазов""","22","8.45","8","7.2","5.95","7.75","18.3","19.12","13.15"
"Бургас","Трояново","село","ОУ "" Христо Ботев""","16","8.87","10.93","6.47","6.4","7.87","13.67","17.7","10.4"
"Бургас","Камено","град","СОУ ""Христо Ботев""","47","11.24","9.97","7.62","6.69","6.92","18.92","28.94","21.18"
"Бургас","Карнобат","град","ОУ ""Хр.Смирненски""","47","15.41","14.76","10.72","10.35","11.35","27.11","33.68","22.36"
"Бургас","Карнобат","град","ОУ ""П. Р. Славейков""","19","7.89","7.5","8.18","8.88","9.76","18","15.37","10.42"
"Бургас","Екзарх Антимово","село","ОУ""Христо Ботев""","17","8.59","8.47","5.41","5.18","5.29","12","18.5","10.12"
"Бургас","Кликач","село","ОУ""Христо Ботев""","11","15.64","13.73","8.18","11.27","10.64","23.82","33.4","32.4"
"Бургас","Карнобат","град","СОУ ""Св.Св. Кирил и Методий""","53","11.89","11.86","8.72","8.3","8.98","18.57","30.36","20.83"
"Бургас","Карнобат","град","СОУ ""Христо Ботев""","72","11.79","11.77","7.83","8.32","8.59","19.73","21.78","16.27"
"Бургас","Малко Търново","град","СОУ""Васил Левски""","18","14","14.69","9.23","8.62","9.38","16.62","21.46","18.36"
"Бургас","Обзор","град","ОУ""Св.Св.Кирил и Методий""","19","14.29","13.06","9","9.18","7.71","24.59","36.82","26.82"
"Бургас","Гюльовца","село","ОУ","12","6.89","7.67","4.8","6.1","3.8","10","14","12.78"
"Бургас","Кошарица","село","ОУ ""Св. Ив. Рилски"" с Кошарица","3","10","10","8.33","4.33","7.33","17.67","10.33","6"
"Бургас","Оризаре","село","ОУ""Г.С.Раковски""","17","13.85","12.77","9","9.5","9.42","24","19.21","10.5"
"Бургас","Равда","село","Св.Св.Кирил  и  Методий","9","12.33","11.44","8.67","6.89","7.78","18.89","30.67","16.33"
"Бургас","Свети Влас","град","ОУ""Св.Св.Кирил и Методий""","10","14","12.3","7.9","8.2","9.9","17.7","33.05","22.8"
"Бургас","Тънково","село","Основно училище ""Васил Левски""","12","8.55","8.36","7","6.1","8.2","10.5","15.45","12.82"
"Бургас","Несебър","град","СОУ ""Любен Каравелов""","81","12.84","12.29","10.2","9.37","9.15","26.15","37.96","31.28"
"Бургас","Каблешково","град","ОУ ""Св. П. Хилендарски""","41","13","12.21","10.4","11.63","11.49","24.38","30.19","26.64"
"Бургас","Поморие","град","ОУ"" Христо Ботев""","47","10.05","9.3","7.21","6.98","5.6","14.81","23.49","14.14"
"Бургас","Ахелой","град","ОУ "" Христо  Ботев ""","16","13.4","13.6","9.4","10.73","10.27","20","24.17","22"
"Бургас","Бата","село","ОУ ""Христо  Ботев""","17","12.31","10.15","9.08","8.62","9.15","24.83","30.19","22.77"
"Бургас","Горица","село","ОУ""Христо Ботев""","10","8.9","8.7","5.8","9.4","7.8","22","26.9","14.11"
"Бургас","Гълъбец","село","ОУ""Г.Ст.Раковски""","14","10.21","8.21","5.15","7.31","6","13.38","24.29","10.71"
"Бургас","Дъбник","село","ОУ "" ЕЛИН  ПЕЛИН""","8","8.5","8.25","8.75","6.62","6.75","18.13","20.38","16.88"
"Бургас","Порой","село","ОУ""Св.св. Кирил и Методий""","15","11.67","12.33","7.93","7.87","8.2","17.67","22.04","9.2"
"Бургас","Страцин","село","ОУ""Отец Паисий""","16","10.88","9.38","8","7.31","6.88","14.5","22","15.5"
"Бургас","Поморие","град","СОУ ""Иван Вазов""","58","16.45","16.27","10.89","11","12.09","28.46","41.88","36.86"
"Бургас","Ново Паничарево","село","ОУ""Хр.Ботев""","11","12.3","10.4","6.6","7.8","6.7","23.73","22.3","21"
"Бургас","Приморско","град","СОУ ""Н.Й.ВАПЦАРОВ""","31","13.57","12.75","9","8.35","7.87","18.41","35.27","28.65"
"Бургас","Вресово","село","ОУ ""Д-р П. Берон""","18","10","9.41","8.72","7.56","8.11","16.67","14.28","25.73"
"Бургас","Добра поляна","село","ОУ""Св.Св.Кирил и Методий""","16","12.12","9.69","9.19","9.06","8.25","20.06","31.94","23.06"
"Бургас","Добромир","село","ОУ ""Ал. Константинов""","13","14.08","14.46","9.38","7.15","7.23","18.85","32.12","20.15"
"Бургас","Дъскотна","село","ОУ ""Климент Охридски""","14","12.21","11.57","8.14","8.07","8.5","18.29","29.29","24.29"
"Бургас","Зайчар","село","ОУ "" Н.Й.Вапцаров""","11","13","17.36","10","9.73","11.55","25.64","27.86","18.09"
"Бургас","Планиница","село","ОУ ""Н.Й.Вапцаров""","13","12.31","12.31","9.23","9.15","9.92","20.15","27.62","22.54"
"Бургас","Просеник","село","ОУ""Св.Св.Кирил и Методий""","14","7.43","8.93","7.71","7.86","9","20.5","26","36.57"
"Бургас","Разбойна","село","ОУ "" Д-р П. Берон""","4","10.75","9.5","7.75","10.25","10.25","18.25","33.5","35.5"
"Бургас","Речица","село","ОУ""А.С.Макаренко""","3","12","9.67","10.33","9","10.67","20","33.83","26.33"
"Бургас","Ръжица","село","ОУ"" Иван Вазов""","17","9.4","9","8.33","7.73","8.4","14.33","24.8","27.33"
"Бургас","Сини рид","село","ОУ ""Р. Кюпчу""","17","11.18","7.76","9.29","10.88","11.24","20.18","32.29","29.06"
"Бургас","Скалак","село","ОУ ""Й. Йовков""","6","10.67","7.33","11.33","7.33","8.17","14.67","23.08","14.83"
"Бургас","Снягово","село","ОУ ""Д. Дебелянов""","10","13.2","11.4","10.2","10.9","10.2","18.6","22.9","28.4"
"Бургас","Струя","село","ОУ ""Ив. Вазов""","2","12","11.5","9.5","7.5","10","6.5","19.5","32.5"
"Бургас","Топчийско","село","ОУ ""Р. Кюпчю""","14","10","10.21","9.79","10.57","8.79","17.93","28.89","25.64"
"Бургас","Трънак","село","ОУ ""Д. Полянов""","17","12","9.81","8","7.53","7.53","19.47","27.56","24.5"
"Бургас","Череша","село","ОУ ""Хр. Ботев""","6","9.17","8.33","6.83","6.83","7.67","19.17","27.92","21.67"
"Бургас","Люляково","село","СОУ "" Отец Паисий""","18","10.44","9.06","7.61","8.44","8.94","18.22","31.89","21.72"
"Бургас","Руен","село","СОУ ""Елин Пелин""","52","9.1","8.4","7.26","6.3","8.62","17.1","22.68","16.5"
"Бургас","Зидарово","село","ОУ ""Хр. Ботев""","18","8.86","9.36","9.5","7.5","7.75","19.08","27.13","19.07"
"Бургас","Равна гора","село","ОУ ""Отец Паисий""","7","9.17","14.17","6.29","6","7.29","17","26.21","13.29"
"Бургас","Росен","село","ОУ ""Христо Ботев""","22","11.79","11.84","8.74","8.58","8.42","23.06","24.25","13.25"
"Бургас","Черноморец","град","ОУ ""Христо Ботев""","18","13.64","12.64","9.71","9.36","10.14","22.21","38.07","27.43"
"Бургас","Созопол","град","СОУ ""Св. Св. Кирил и Методий""","30","12.39","11.39","8.93","7.57","6.89","21.36","32.82","23.57"
"Бургас","Дебелт","село","ОУ""Антон Страшимиров""","20","6.56","7.69","8.12","4.47","5.47","15.38","11.58","9.67"
"Бургас","Загорци","село","ОУ""Св.Св.Кирил и Методий""","11","10.22","10.89","9.56","10.33","7.67","19.78","20.72","14.89"
"Бургас","Факия","село","ОУ""Н. Й. Вапцаров""","12","8.44","11","6.64","4.82","6.45","16.9","15.2","7.64"
"Бургас","Средец","град","СОУ ""Св. св. Кирил и Методий""","92","10.25","11.03","7.67","7.77","6.58","17.01","25.03","20.62"
"Бургас","Грозден","село","ОУ ""Св.св.Кирил и Методий""","17","10.2","10.07","7.12","5.81","7.56","16.31","24.62","20.69"
"Бургас","Лозарево","село","ОУ ""Христо Ботев""","16","10.92","9.33","10","9.62","9.15","16.85","14.92","20.31"
"Бургас","Манолич","село","ОУ ""Св.Св.Кирил и Методий""","17","9.24","8.18","9.29","9.65","8.59","19.24","16.12","17.88"
"Бургас","Прилеп","село","ОУ ""Васил Левски""","12","11.18","11","7.82","6.45","8.82","15.45","14.86","11.36"
"Бургас","Съединение","село","ОУ ""Отец Пайсий""","11","10","8.91","6.55","8.09","7.36","16.18","31","15.9"
"Бургас","Сунгурларе","град","СОУ ""Хр.Ботев""","41","6.3","6.24","6.31","5.37","4.91","13.68","14.36","10.23"
"Бургас","Ахтопол","град","ОУ Ахтопол","22","10.53","9.65","7","7.21","8","15.82","26.5","12.26"
"Бургас","Царево","град","СОУ ""Н.Й.Вапцаров""","49","13.75","12.4","9.12","9.29","7.85","20.34","36.65","25.86"
"Велико Търново","Велико Търново","град","ОУ ""Христо Ботев""","11","6.8","7.1","6.91","6","7.73","13.7","20.18","13.36"
"Велико Търново","Велико Търново","град","ОУ ""Бачо Киро""","140","14.67","13.37","10.88","10.03","10.61","27.46","42.37","42.98"
"Велико Търново","Велико Търново","град","ОУ ""Св.Патр. Евтимий""","106","15.36","13.6","11.27","12.53","10.84","29.64","46.17","36.89"
"Велико Търново","Велико Търново","град","ОУ ""Д.Благоев""","41","12.68","11.56","9.35","8.95","8.47","22.45","31.46","27.66"
"Велико Търново","Велико Търново","град","ОУ ""П.Р.Славейков""","24","13.58","12.75","10.13","8.83","8.17","25.09","35.52","26.75"
"Велико Търново","Леденик","село","ОУ Васил Левски","5","8","7.6","6.4","5.6","6.2","17.4","23.2","15"
"Велико Търново","Дебелец","град","ОУ ""Д-р П.Берон""","19","12.24","11.35","9.33","7.39","7.83","19.33","30.82","17.72"
"Велико Търново","Балван","село","ОУ ""Св.Иван Рилски""","9","12","11.4","6.2","3.8","6.2","21.6","28","21"
"Велико Търново","Ресен","село","ОУ ""Христо Ботев""","10","12.44","11.11","9.9","9.3","7.7","20.5","28.95","20.2"
"Велико Търново","Водолей","село","ОУ ""Хр.Смирненски""","8","7.83","9.17","8.5","7.25","7.5","21.29","19.67","10.83"
"Велико Търново","Самоводене","село","ОУ ""Хр.Смирненски""","6","13","11.5","9.83","6.17","7.5","19","28.33","18.17"
"Велико Търново","Церова кория","село","ОУ ""П.Р.Славейков""","10","11","7.2","9.6","8.6","8.8","17.6","24.6","10.2"
"Велико Търново","Килифарево","град","ОУ ""Неофит Рилски""","11","11.67","11.17","8","7.12","8.38","13.33","22.75","14.5"
"Велико Търново","Велико Търново","град","СОУ ""Емилиян Станев""","110","14.85","13.62","10.93","9.49","10.58","27.15","38.55","30.11"
"Велико Търново","Велико Търново","град","СОУ ""Вела Благоева""","63","13.28","11.5","9.42","7.55","8.02","17.72","32.88","24.15"
