"﻿Област","Община","Населено място","Код по Админ","Училище","БЕЛ Ср.Усп","БЕЛ Бр.","МАТ Ср.Усп","МАТ Бр.","ИЦ Ср.Усп","ИЦ Бр.","ФА Ср.Усп","ФА Бр.","ГИ Ср.Усп","ГИ Бр.","ХООС Ср.Усп","ХООС Бр.","ФИЛ Ср.Усп","ФИЛ Бр.","БЗО Ср.Усп","БЗО Бр.","АЕ Ср.Усп","АЕ Бр.","РЕ Ср.Усп","РЕ Бр.","НЕ Ср.Усп","НЕ Бр.","ИспЕ Ср.Усп","ИспЕ Бр.","ФрЕ Ср.Усп","ФрЕ Бр.","ИтЕ Ср.Усп","ИтЕ Бр.","2ДЗИ Ср.Усп","2ДЗИ Бр.","ср.успех","общо"
"Благоевград","Банско","Банско","102015","Професионална гимназия по електроника и енергетика","4","37","","","4,43","1","4,19","7","3,39","25","","","3,49","1","","","4,89","4","","","","","","","","","","","3,72","38","3,86","75"
"Благоевград","Банско","Банско","102010","Професионална гимназия по селско стопанство и туризъм ""Алеко Константинов""","3,59","17","","","","","","","2,88","4","","","","","","","3,15","2","","","","","","","","","","","2,97","6","3,43","23"
"Благоевград","Банско","Банско","102004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","3,35","33","","","","","","","2,77","18","","","","","4,73","16","5,81","1","","","","","","","","","","","3,75","35","3,56","68"
"Благоевград","Белица","Белица","105002","Професионална гимназия ""Никола Йонков Вапцаров""","3,52","26","","","","","","","3,01","1","","","","","","","","","","","","","","","","","","","3,01","1","3,5","27"
"Благоевград","Белица","Белица","105001","Средно училище ""Св.Св.Кирил и Методий""","3,9","58","3,34","1","","","","","3,72","30","","","","","4,84","25","4,26","1","","","","","","","","","","","4,21","57","4,05","115"
"Благоевград","Благоевград","Благоевград","100190","Езикова гимназия ""Акад. Людмил Стоянов""","5,21","152","4,74","4","5,69","3","","","4,3","6","6","1","4,44","7","5,06","9","5,64","85","","","5,6","19","5,24","3","5,09","15","","","5,41","152","5,31","304"
"Благоевград","Благоевград","Благоевград","101870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","4,23","96","3,01","1","3,61","9","4,42","4","3,48","11","","","3,98","23","3,8","23","5,26","24","","","","","5,42","2","","","","","4,2","97","4,22","193"
"Благоевград","Благоевград","Благоевград","102060","Пето средно училище ""Георги Измирлиев""","3,82","37","","","","","","","3,38","16","","","3,1","1","4,4","16","4,85","3","","","","","","","","","","","3,95","36","3,88","73"
"Благоевград","Благоевград","Благоевград","100200","Природо-математическа гимназия Акад. Сергей Корольов","5,08","154","5,01","51","5,66","2","","","4,28","14","5,63","6","4,9","5","5,42","23","5,71","41","4,58","3","5,56","9","","","","","","","5,24","154","5,16","308"
"Благоевград","Благоевград","Благоевград","100052","Благоевградска професионална гимназия","3,2","34","","","","","","","2,95","13","","","","","3,34","10","4,5","2","","","","","","","","","","","3,23","25","3,21","59"
"Благоевград","Благоевград","Благоевград","100280","Професионална гимназия по икономика ""Иван Илиев""","4,37","117","","","4,01","1","","","3,47","11","","","3,92","2","4,07","13","5,59","11","","","","","","","","","","","4,33","38","4,36","155"
"Благоевград","Благоевград","Благоевград","101730","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","3,49","29","","","","","","","2,79","1","","","","","","","","","","","","","","","","","","","2,79","1","3,47","30"
"Благоевград","Благоевград","Благоевград","100300","Професионална гимназия по строителство, архитектура и геодезия "" Васил Левски""","4,03","63","4,54","2","4,46","1","","","2,79","4","","","3,82","32","4,06","8","5,29","6","","","","","","","","","","","3,98","53","4,01","116"
"Благоевград","Благоевград","Благоевград","100070","Седмо средно училище ""Кузман Шапкарев""","3,1","1","","","","","","","2,84","1","","","","","","","","","","","","","","","","","","","2,84","1","2,97","2"
"Благоевград","Благоевград","Благоевград","101250","Средно училище с изучаване на чужди езици ""Св. Климент Охридски""","3,79","22","","","","","","","","","","","3,46","2","4,29","8","4,75","10","3,71","2","","","","","","","","","4,37","22","4,08","44"
"Благоевград","Благоевград","Благоевград","109174","Частно вечерно средно училище ""Димитър и Йоан""","3,16","14","","","3,57","2","","","3,29","5","","","","","2,54","3","4,09","3","","","","","","","","","","","3,35","13","3,25","27"
"Благоевград","Гоце Делчев","Брезница","103401","Средно училище ""Св. Св. Кирил и Методий""","3,58","27","","","","","","","","","","","","","4,28","25","5,26","2","","","","","","","","","","","4,35","27","3,96","54"
"Благоевград","Гоце Делчев","Гоце Делчев","102001","Неврокопска професионална гимназия ""Димитър Талев""","3,84","147","3,79","2","5,57","1","","","3,41","32","","","","","3,82","14","4,32","6","","","","","","","","","","","3,66","55","3,79","202"
"Благоевград","Гоце Делчев","Гоце Делчев","102002","Природо-математическа гимназия ""Яне Сандански""","4,81","123","5,34","23","4,6","7","","","4,29","7","5,99","2","4,88","12","5,17","43","5,44","28","4,67","1","","","","","","","","","5,16","123","4,98","246"
"Благоевград","Гоце Делчев","Гоце Делчев","102016","Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""","3,34","31","","","3,5","5","","","3,41","3","","","","","3,32","20","","","","","","","","","","","","","3,36","28","3,35","59"
"Благоевград","Гърмен","Гърмен","101301","Средно училище ""Св.Св.Кирил и Методий""","3,63","12","3,84","1","","","","","4,03","3","","","","","4,7","7","","","","","","","","","","","","","4,44","11","4,02","23"
"Благоевград","Гърмен","Рибново","103002","Средно училище ""Йордан Йовков""","3,66","26","4,03","3","","","","","3,27","9","","","4,1","21","","","","","","","","","","","","","","","3,87","33","3,78","59"
"Благоевград","Кресна","Кресна","105101","Средно училище ""Св.Паисий Хилендарски""","3,76","17","2,37","1","","","","","3,56","9","","","","","3,9","6","5,99","1","","","","","","","","","","","3,75","17","3,76","34"
"Благоевград","Петрич","Коларово","104003","Средно училище ""Васил Левски""","4,03","11","4,84","1","","","","","4,12","10","","","","","","","","","","","","","","","","","","","4,18","11","4,11","22"
"Благоевград","Петрич","Петрич","104001","Профилирана гимназия ""Пейо Крачолов Яворов""","4,24","139","4,2","25","3,9","6","","","4,06","4","","","4,02","33","4,54","53","5,23","17","","","","","","","","","","","4,4","138","4,32","277"
"Благоевград","Петрич","Петрич","102014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","3,7","99","4,18","1","2,76","2","","","2,81","9","","","","","3,71","71","5,29","2","","","","","","","","","","","3,63","85","3,67","184"
"Благоевград","Петрич","Петрич","102009","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","3,27","59","","","3,01","1","","","2,9","21","","","","","3,45","27","","","","","","","","","","","","","3,21","49","3,24","108"
"Благоевград","Петрич","Петрич","104002","Средно училище ""Антон Попов""","3,92","1","","","","","","","2,35","1","","","","","3,5","1","","","","","","","","","","","","","2,93","2","3,26","3"
"Благоевград","Петрич","Петрич","103310","Средно училище ""Никола Йонков Вапцаров""","4,37","28","4,09","6","5,09","1","","","4,53","1","","","","","4,05","13","5,54","7","","","","","","","","","","","4,49","28","4,43","56"
"Благоевград","Петрич","Първомай","104004","Средно училище ""Св.Паисий Хилендарски""","4,45","17","4,26","1","","","","","4,58","1","","","","","4,91","14","5,88","1","","","","","","","","","","","4,91","17","4,68","34"
"Благоевград","Разлог","Разлог","102012","Професионална гимназия по туризъм и хранителни технологии ""Никола Стойчев""","3,92","63","","","","","","","3,04","15","","","","","3,78","7","5,3","7","","","","","","","","","","","3,76","29","3,87","92"
"Благоевград","Разлог","Разлог","102017","Професионална гимназия по механизация на селското стопанствo","3,47","57","","","","","","","3,33","5","","","","","","","","","","","","","","","","","","","3,33","5","3,46","62"
"Благоевград","Разлог","Разлог","102113","Професионална гимназия по транспорт","3,34","61","","","4,54","2","","","2,82","14","","","","","3,42","1","4,95","1","","","","","","","","","","","3,16","18","3,3","79"
"Благоевград","Разлог","Разлог","103501","Средно училище ""Братя Петър и Иван Каназиреви""","5,02","57","4,81","10","","","","","4,67","9","","","4,11","5","4,7","4","5,43","29","","","","","","","","","","","5,03","57","5,03","114"
"Благоевград","Сандански","Сандански","108021","Вечерна профилирана гимназия","3,09","14","","","","","","","2,88","13","","","","","3,22","3","","","","","","","","","","","","","2,95","16","3,01","30"
"Благоевград","Сандански","Сандански","104101","Профилирана гимназия ""Яне Сандански""","4,2","140","4,65","25","3,86","6","","","3,5","56","3,95","1","3,35","1","2,92","12","5,35","38","5,9","2","","","","","","","","","4,2","141","4,2","281"
"Благоевград","Сандански","Сандански","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","4,17","109","","","4,13","3","","","3,45","13","","","5,42","3","4,19","28","5,3","8","","","","","","","","","","","4,24","55","4,19","164"
"Благоевград","Сандански","Сандански","102007","Професионална техническа гимназия","3,46","22","3,57","3","5,04","1","","","2,74","3","","","","","3,63","9","5,7","1","","","","","","","","","","","3,67","17","3,55","39"
"Благоевград","Сандански","Сандански","109185","Спортно училище","3,72","18","3,36","1","","","","","3,61","6","","","","","3,81","3","4,58","3","","","","","","","","","","","3,86","13","3,78","31"
"Благоевград","Сатовча","Вълкосел","109030","Средно училище ""Христо Ботев""","4,05","33","4,68","5","4,56","3","","","","","5,74","3","","","4,35","22","","","","","","","","","","","","","4,54","33","4,3","66"
"Благоевград","Сатовча","Кочан","109055","Средно училище ""Христо Смирненски""","3,54","21","4,88","4","","","","","3,36","8","5,51","3","3,11","2","4,89","3","5,53","1","","","","","","","","","","","4,25","21","3,9","42"
"Благоевград","Сатовча","Сатовча","109050","Средно училище ""Св. Св. Кирил и Методий""","4,03","35","","","4,32","5","","","4,03","19","3,2","1","4,2","4","5,21","4","5,14","2","","","","","","","","","","","4,27","35","4,15","70"
"Благоевград","Сатовча","Слащен","109037","Средно училище ""Свети Климент Охридски""","4,13","31","","","4,29","2","4,77","3","3,37","4","5,67","1","3,75","6","5,11","14","","","","","","","","","","","","","4,53","30","4,33","61"
"Благоевград","Симитли","Крупник","109102","Средно училище ""Св.св.Кирил и Методий""","3,04","15","","","3,75","1","","","2,92","16","","","","","","","5,72","1","","","","","","","","","","","3,12","18","3,09","33"
"Благоевград","Симитли","Симитли","103133","Средно училище ""Св. Св. Кирил и Методий""","3,87","24","","","","","","","3,4","8","","","","","4,25","13","5,7","3","","","","","","","","","","","4,15","24","4,01","48"
"Благоевград","Хаджидимово","Абланица","108004","Средно училище ""Св. Паисий Хилендарски""","4,11","29","","","","","","","3,3","3","","","4,03","9","4,56","14","5,66","2","","","","","","","","","","","4,33","28","4,22","57"
"Благоевград","Хаджидимово","Хаджидимово","108001","Средно училище ""Никола Йонков Вапцаров""","4,3","26","6","1","","","","","","","5,72","2","","","4,32","24","","","","","","","","","","","","","4,48","27","4,39","53"
"Благоевград","Якоруда","Якоруда","102011","Професионална гимназия по машиностроене ""Петко Рачов Славейков""","3,7","31","","","","","","","2,91","12","","","","","4,07","1","","","","","","","","","","","","","3","13","3,49","44"
"Благоевград","Якоруда","Якоруда","107090","Средно училище ""Свети Свети Кирил и Методий""","3,88","40","","","4,72","5","","","3,6","23","","","4,17","6","4,61","1","4,97","7","","","","","","","","","","","4,07","42","3,98","82"
"Бургас","Айтос","Айтос","200114","Професионална гимназия по селско стопанство ""Златна нива""","2,95","145","","","","","","","3,07","31","","","","","3,36","83","4,56","1","","","","","","","","","","","3,29","115","3,1","260"
"Бургас","Айтос","Айтос","200113","Средно училище ""Никола Йонков Вапцаров""","3,63","52","","","","","","","3,37","36","","","4,11","7","4,03","9","5,06","2","","","","","","","","","","","3,64","54","3,63","106"
"Бургас","Айтос","Айтос","200112","Средно училище ""Христо Ботев""","4,08","62","2,53","1","4,31","6","4,29","1","4,09","17","","","","","4,53","31","5,23","5","","","4,24","1","","","","","","","4,4","62","4,24","124"
"Бургас","Бургас","Бургас","200255","Вечерно средно училище "" Захари Стоянов""","3,24","57","","","2,75","3","","","3,2","16","2,48","1","3,23","14","3,35","12","3,83","7","","","","","","","","","","","3,29","53","3,26","110"
"Бургас","Бургас","Бургас","200235","Профилирана гимназия за романски езици ""Георги Стойков Раковски""","5,01","177","3,21","4","4,7","3","","","4,63","4","","","4,03","12","4,91","25","5,44","81","","","","","4,9","22","5,06","25","5,72","1","5,07","177","5,04","354"
"Бургас","Бургас","Бургас","200238","Профилирана гимназия за чужди езици ""Васил Левски""","4,49","128","4,7","2","5,51","2","","","4,55","5","","","3,61","2","5,06","8","5,42","24","4,84","84","","","","","","","","","4,94","127","4,71","255"
"Бургас","Бургас","Бургас","200236","Профилирана гимназия с преподаване на английски език ""Гео Милев""","5,14","155","3,92","5","","","","","4,43","2","","","4,29","4","5,22","6","5,63","137","5,7","1","","","","","","","","","5,51","155","5,32","310"
"Бургас","Бургас","Бургас","200237","Профилирана гимназия с преподаване на немски език ""Гьоте""","5,31","152","3,81","4","","","","","3,7","1","","","3,7","2","5,41","5","5,72","39","","","5,55","101","","","","","","","5,51","152","5,41","304"
"Бургас","Бургас","Бургас","2902103","Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""","4,65","31","","","","","","","","","","","4,29","2","4,62","5","4,83","7","","","","","","","","","","","4,68","14","4,66","45"
"Бургас","Бургас","Бургас","200239","Профилирана природоматематическа гимназия ""Акад. Никола Обрешков""","5,17","151","5,41","98","5,24","1","","","4,46","1","","","4,42","4","5,55","12","5,67","35","","","","","","","","","","","5,45","151","5,31","302"
"Бургас","Бургас","Бургас","200248","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","3,63","113","","","3,37","12","3,73","1","","","","","3,74","10","3,87","55","5,1","36","","","4,9","1","","","","","","","4,2","115","3,92","228"
"Бургас","Бургас","Бургас","200251","Професионална гимназия по дървообработване ""Георги Кондолов""","2,96","2","","","","","","","2,66","1","","","3,03","1","3,48","2","","","","","","","","","","","","","3,16","4","3,1","6"
"Бургас","Бургас","Бургас","200244","Професионална гимназия по механоелектротехника и електроника","3,91","148","3,48","8","3,04","3","3,76","4","3,8","9","","","3,5","56","3,91","38","4,88","34","","","","","","","","","","","3,93","152","3,92","300"
"Бургас","Бургас","Бургас","200243","Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""","3,68","16","","","","","","","3,32","3","","","3,33","6","3,96","6","3,94","3","","","","","","","","","","","3,64","18","3,66","34"
"Бургас","Бургас","Бургас","200252","Професионална гимназия по сградостроителство и инсталации ""Пеньо Пенев""","3,08","12","","","","","","","3,11","5","","","2,66","1","2,98","3","","","","","","","","","","","","","3,02","9","3,05","21"
"Бургас","Бургас","Бургас","200245","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","4,16","144","3,5","15","3,75","7","","","3,75","10","","","3,7","46","4,28","35","4,96","33","","","","","","","","","","","4,11","146","4,13","290"
"Бургас","Бургас","Бургас","200249","Професионална гимназия по транспорт","3,23","56","","","","","","","3,13","6","","","3,43","6","3,5","47","5,28","3","","","","","","","","","","","3,54","62","3,39","118"
"Бургас","Бургас","Бургас","200242","Професионална гимназия по туризъм ""Проф.д-р Асен Златаров""","3,89","183","3,09","3","4,03","7","","","3,44","12","","","3,6","28","3,84","103","4,84","31","2,86","2","","","","","","","","","3,93","186","3,91","369"
"Бургас","Бургас","Бургас","200247","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","3,91","130","2,81","1","3,28","6","","","3,2","11","5,04","4","3,42","11","3,71","48","4,94","25","","","","","","","","","","","3,93","106","3,92","236"
"Бургас","Бургас","Бургас","200250","Професионална техническа гимназия","3,19","20","","","3,11","1","","","2,69","8","","","3,5","7","3,44","4","","","","","","","","","","","","","3,14","20","3,16","40"
"Бургас","Бургас","Бургас","200234","Средно училище ""Св. Св. Кирил и Методий""","3,91","109","3,32","3","","","","","4,4","37","","","3,34","10","4,23","20","4,6","36","5,02","5","","","","","","","","","4,34","111","4,13","220"
"Бургас","Бургас","Бургас","200240","Спортно училище ""Юрий Гагарин""","3,41","54","3,84","1","","","","","2,6","2","","","2,8","6","3,61","8","4,73","1","","","","","","","","","","","3,3","18","3,39","72"
"Бургас","Бургас","Бургас","200227","Средно училище ""Иван Вазов""","3,4","45","","","","","","","","","","","3,43","22","3,69","22","4,44","3","","","","","","","","","","","3,62","47","3,51","92"
"Бургас","Бургас","Бургас","200232","Средно училище ""Константин Петканов""","3,56","18","","","2,35","1","","","","","","","3,44","3","3,96","15","5,38","1","3,17","1","","","","","","","","","3,84","21","3,71","39"
"Бургас","Бургас","Бургас","200229","Средно училище ""Епископ Константин Преславски""","3,74","44","2,79","1","","","","","2,76","2","","","3,47","4","4,16","26","5,08","10","","","4,61","1","","","","","","","4,22","44","3,98","88"
"Бургас","Бургас","Бургас","200233","Средно училище ""Петко Росен""","3,2","22","","","","","","","3,28","2","","","3,08","15","3,39","3","4,05","3","","","","","","","","","","","3,27","23","3,24","45"
"Бургас","Бургас","Бургас","200230","Средно училище ""Димчо Дебелянов""","3,52","27","","","","","","","","","","","3,28","5","3,8","18","4,42","5","","","","","","","","","","","3,82","28","3,67","55"
"Бургас","Бургас","Бургас","200231","Средно училище ""Добри Чинтулов""","3,31","20","","","","","","","","","","","3,37","4","3,63","12","5,23","2","","","","","","","","","","","3,75","18","3,52","38"
"Бургас","Бургас","Бургас","200228","Средно училище "" Йордан Йовков""","3,29","6","","","","","","","","","","","2,4","1","3,66","4","","","","","","","","","","","","","3,41","5","3,34","11"
"Бургас","Бургас","Бургас","200246","ПРОФЕСИОНАЛНА ТЪРГОВСКА ГИМНАЗИЯ","5,1","128","4,05","21","4,48","2","","","4,22","6","","","4,45","6","4,77","32","5,42","52","4,7","1","","","","","","","","","4,87","120","4,99","248"
"Бургас","Бургас","Бургас","200258","Частна профилирана гимназия с изучаване на английски език ""Британика""","3,96","6","","","","","","","","","","","","","5,5","1","3,9","5","","","","","","","","","","","4,17","6","4,07","12"
"Бургас","Бургас","Бургас","200221","Средно училище ""Христо Ботев""","3,45","1","","","","","","","3,45","1","","","","","","","","","","","","","","","","","","","3,45","1","3,45","2"
"Бургас","Камено","Камено","200308","Средно училище ""Христо Ботев""","3,19","8","","","","","","","3,1","1","","","","","3,42","7","","","","","","","","","","","","","3,38","8","3,28","16"
"Бургас","Карнобат","Карнобат","200413","Професионална гимназия по селско стопанство и лека промишленост","3,16","74","","","","","","","3,35","18","","","","","3,44","49","3,9","1","","","","","","","","","","","3,42","68","3,29","142"
"Бургас","Карнобат","Карнобат","200411","Средно училище ""Св.Св.Кирил и Методий""","4,93","55","3,8","8","5,8","4","","","","","","","5,22","7","4,85","22","5,09","14","","","","","","","","","","","4,87","55","4,9","110"
"Бургас","Карнобат","Карнобат","200412","Средно училище ""Христо Ботев""","3,89","61","3,64","4","","","","","3,79","21","","","3,93","4","4,33","29","4,75","4","","","","","","","","","","","4,11","62","4","123"
"Бургас","Малко Търново","Малко Търново","200503","Средно училище""Васил Левски""","3,27","12","","","","","","","","","","","","","3,92","7","5,12","1","","","","","","","","","","","4,07","8","3,59","20"
"Бургас","Несебър","Несебър","200609","Професионална гимназия по туризъм ""Иван Вазов""","3,25","54","","","2,57","1","","","2,93","21","","","4,07","1","3,44","27","5,24","3","","","","","","","","","","","3,34","53","3,29","107"
"Бургас","Несебър","Несебър","200608","Средно училище ""Любен Каравелов""","4,22","34","","","5,11","2","","","3,56","9","","","3,86","3","4,21","3","5,08","17","5,63","1","","","","","","","","","4,53","35","4,37","69"
"Бургас","Поморие","Поморие","200712","Професионална гимназия по туризъм ""Алеко Константинов""","3,36","44","","","","","","","3,73","5","","","","","3,64","34","","","","","","","","","","","","","3,65","39","3,49","83"
"Бургас","Поморие","Поморие","200711","Средно училище ""Иван Вазов""","4,49","24","","","5,41","1","","","3,53","7","","","","","3,99","7","5,42","7","5,95","2","","","","","","","","","4,49","24","4,49","48"
"Бургас","Приморско","Приморско","200803","Средно училище ""Никола Йонков Вапцаров""","4,09","14","","","","","","","","","","","","","4,44","13","5,81","1","","","","","","","","","","","4,54","14","4,31","28"
"Бургас","Руен","Люляково","200931","Средно Училище "" Отец Паисий""","3,3","26","","","","","","","","","","","","","4,38","21","","","","","","","","","","","","","4,38","21","3,79","47"
"Бургас","Руен","Руен","200932","Средно училище ""Елин Пелин""","3,87","66","","","","","","","4,35","12","4,97","7","","","5,17","47","","","","","","","","","","","","","5","66","4,43","132"
"Бургас","Созопол","Созопол","201009","Средно училище ""Св. Св. Кирил и Методий""","3,35","7","","","","","","","","","","","3,42","1","3,36","5","4,15","2","","","","","","","","","","","3,56","8","3,46","15"
"Бургас","Средец","Средец","201106","Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""","3,08","33","2,44","2","2,99","12","","","2,88","7","","","2,97","17","3,39","1","","","","","","","","","","","","","2,94","39","3","72"
"Бургас","Средец","Средец","201104","Средно училище ""Свети Свети Кирил и Методий""","3,06","8","","","","","","","2,94","8","","","","","","","3,95","1","","","","","","","","","","","3,06","9","3,06","17"
"Бургас","Сунгурларе","Сунгурларе","201212","Средно училище ""Христо Ботев""","2,92","23","","","","","","","","","","","","","3,49","16","","","","","","","","","","","","","3,49","16","3,16","39"
"Бургас","Царево","Царево","201305","Средно училище ""Никола Йонков Вапцаров""","3,94","17","","","","","","","","","","","4,85","3","4,1","13","","","","","","","","","","","","","4,25","16","4,09","33"
"Варна","Аврен","Синдел","400084","Средно училище ""Св. Св. Кирил и Методий""","2,82","26","","","","","","","2,82","13","","","3,18","1","3,1","5","","","","","","","","","","","","","2,91","19","2,86","45"
"Варна","Аксаково","Аксаково","400087","Средно училище ""Свети Климент Охридски""","3,43","20","","","","","","","","","","","","","3,77","19","5,53","1","","","","","","","","","","","3,86","20","3,64","40"
"Варна","Аксаково","Игнатиево","400090","Средно училище ""Свети Свети Кирил и Методий""","2,96","20","","","","","","","3,46","1","","","","","2,74","5","","","","","","","","","","","","","2,86","6","2,94","26"
"Варна","Белослав","Белослав","400098","Професионална гимназия ""Свети Димитър Солунски""","3,08","45","","","","","","","3,03","17","","","","","3,3","29","","","","","","","","","","","","","3,2","46","3,14","91"
"Варна","Белослав","Белослав","400096","Средно училище ""Св. св. Кирил и Методий""","3,96","24","","","","","","","","","","","","","4,12","22","4,26","2","","","","","","","","","","","4,13","24","4,04","48"
"Варна","Бяла","Бяла","400106","Професионална гимназия по селско стопанство и туризъм","3,29","9","","","","","","","3,11","1","","","","","","","","","","","","","","","","","","","3,11","1","3,28","10"
"Варна","Варна","Варна","400033","Спортно училище ""Георги Бенковски""","3,79","80","","","","","","","3,07","14","","","3,43","19","3,47","14","4,42","27","5,97","3","4,32","1","","","","","","","3,83","78","3,81","158"
"Варна","Варна","Варна","400031","Средно училище с езиково обучение ""Ал. С. Пушкин""","4,86","91","4,2","6","5,23","2","5,19","2","4,22","19","","","4,74","2","4,85","8","5,71","27","5","16","4,43","3","","","","","5,31","9","5","94","4,93","185"
"Варна","Варна","Варна","402183","Варненска морска гимназия ""Свети Николай Чудотворец""","3,86","65","2,62","1","","","","","3,16","6","","","3,62","2","3,97","15","4,7","16","","","","","","","","","","","4,09","40","3,95","105"
"Варна","Варна","Варна","402030","Варненска търговска гимназия ""Георги Стойков Раковски""","4,83","127","3,61","1","5,29","3","","","4,22","18","","","4,26","11","4,62","46","5,16","47","","","4,18","1","4,07","1","","","","","4,73","128","4,78","255"
"Варна","Варна","Варна","400043","Гимназия с преподаване на чужди езици ""Йоан Екзарх""","5,3","185","5,15","7","5,86","3","","","","","5,5","1","4,57","10","5,56","15","5,63","97","","","5,53","43","","","4,93","10","","","5,49","186","5,4","371"
"Варна","Варна","Варна","400042","ІV Езикова гимназия ""Фредерик Жолио - Кюри""","5,17","202","4,24","12","4,64","1","","","5,51","1","","","4,52","9","5,82","5","5,59","82","","","","","4,99","38","5,43","54","","","5,3","202","5,24","404"
"Варна","Варна","Варна","400046","Математическа гимназия ""Д-р Петър Берон""","5,22","206","5,36","150","","","5,76","2","4,35","1","","","4,37","3","5,2","10","5,68","40","","","","","","","","","","","5,4","206","5,31","412"
"Варна","Варна","Варна","400047","Национална гимназия за хуманитарни науки и изкуства ""Константин Преславски""","4,76","210","3,36","3","5,38","6","","","3,99","24","","","4,03","30","4,47","36","5,26","99","4,58","6","5,12","6","","","","","4,49","1","4,76","211","4,76","421"
"Варна","Варна","Варна","2902106","НАЦИОНАЛНО УЧИЛИЩЕ ПО ИЗКУСТВАТА ""ДОБРИ ХРИСТОВ""","4,76","60","","","3,73","1","","","","","","","4,45","4","3,5","1","5,62","8","","","","","","","","","","","5","14","4,81","74"
"Варна","Варна","Варна","403531","Професионална гимназия по електротехника","3,82","119","3,15","1","3,93","5","3,16","5","3,68","4","","","3,39","2","4,2","48","4,94","41","3,6","2","","","","","","","","","4,37","108","4,08","227"
"Варна","Варна","Варна","402172","Професионална гимназия по горско стопанство и дървообработване ""Николай Хайтов""","3,48","66","","","","","","","2,73","6","","","","","2,7","1","3,83","2","","","","","","","","","","","2,97","9","3,42","75"
"Варна","Варна","Варна","400044","Професионална гимназия по икономика ""Д-р Иван Богоров""","4,4","138","3,38","3","4,34","4","","","4,68","3","","","3,85","28","4,3","53","5,2","41","","","4,81","1","","","","","","","4,47","133","4,44","271"
"Варна","Варна","Варна","400063","Професионална гимназия по строителство, архитектура и геодезия ""Васил Левски""","3,95","97","","","4,56","1","","","3,35","31","","","3,51","25","4,07","18","5,11","6","","","","","","","","","","","3,7","81","3,84","178"
"Варна","Варна","Варна","402161","Професионална гимназия по текстил и моден дизайн","3,67","46","","","2,48","1","","","4,18","1","","","3,39","3","3,71","28","","","","","","","","","","","","","3,66","33","3,66","79"
"Варна","Варна","Варна","403534","Професионална гимназия по туризъм ""Професор д-р Асен Златаров""","4,39","185","2,53","1","3,84","1","","","3,58","2","","","4,04","8","4,35","5","5,18","35","","","5,57","1","","","","","","","4,8","53","4,48","238"
"Варна","Варна","Варна","400058","Професионална гимназия по химични и хранително-вкусови технологии ""Дм.Ив.Менделеев""","3,83","41","","","5,29","1","","","2,57","1","","","3,52","7","3,98","26","4,75","5","5,96","1","","","","","","","","","4,04","41","3,93","82"
"Варна","Варна","Варна","400055","Професионална техническа гимназия","3,76","177","3,32","1","4,02","8","3,17","1","2,88","2","","","3,54","8","3,76","20","5,11","14","","","","","","","","","","","4,06","54","3,83","231"
"Варна","Варна","Варна","400045","Първа езикова гимназия","5,41","231","4,83","13","4,54","2","5,86","3","4,51","3","6","1","4,11","2","5,56","13","5,84","137","","","5,85","56","","","","","","","5,73","230","5,57","461"
"Варна","Варна","Варна","400030","Седмо средно училище ""Найден Геров""","3,99","46","","","3,35","3","","","3,88","11","","","3,59","4","4,25","11","5,08","14","4,9","1","5,6","1","","","","","","","4,34","45","4,16","91"
"Варна","Варна","Варна","400040","Средно училище ""Свети Климент Охридски""","4,61","47","4,1","14","5,18","2","","","3,36","1","","","4,03","4","4,45","4","5,58","21","","","","","","","","","","","4,83","46","4,72","93"
"Варна","Варна","Варна","400034","Средно училище ""Гео Милев""","3,94","41","","","4,14","3","","","","","","","3,98","2","3,86","13","4,85","13","4,89","10","","","","","","","","","4,45","41","4,2","82"
"Варна","Варна","Варна","400036","Средно училище ""Елин Пелин""","3,72","17","","","3,03","1","","","3,61","1","","","3,21","3","3,91","12","","","","","","","","","","","","","3,71","17","3,72","34"
"Варна","Варна","Варна","400039","Средно училище ""Пейо Крачолов Яворов""","3,66","19","","","","","","","4,29","2","","","3,59","3","4,22","12","4,98","2","","","","","","","","","","","4,21","19","3,93","38"
"Варна","Варна","Варна","400037","Средно училище ""Любен Каравелов""","3,67","20","","","3,04","4","","","3,69","3","","","","","3,6","10","4,37","4","","","","","","","","","","","3,65","21","3,66","41"
"Варна","Варна","Варна","400041","Трета природоматематическа гимназия ""Академик Методий Попов""","4,81","130","4,44","6","5,05","5","5,52","5","4,92","25","5,98","1","4,17","20","5,16","28","5,48","38","5,5","1","4,92","1","","","","","","","5,04","130","4,93","260"
