"﻿Област","Община","Населено място","Код по Админ","Училище","БЕЛ Ср.Усп","БЕЛ Бр.","МАТ Ср.Усп","МАТ Бр.","ИЦ Ср.Усп","ИЦ Бр.","ФА Ср.Усп","ФА Бр.","ГИ Ср.Усп","ГИ Бр.","ХООС Ср.Усп","ХООС Бр.","ФИЛ Ср.Усп","ФИЛ Бр.","БЗО Ср.Усп","БЗО Бр.","АЕ Ср.Усп","АЕ Бр.","РЕ Ср.Усп","РЕ Бр.","НЕ Ср.Усп","НЕ Бр.","ИспЕ Ср.Усп","ИспЕ Бр.","ФрЕ Ср.Усп","ФрЕ Бр.","ИтЕ Ср.Усп","ИтЕ Бр.","2ДЗИ Ср.Усп","2ДЗИ Бр.","ср.успех","общо"
"Кърджали","Кирково","Бенковски","909402","Средно училище ""Никола Йонков Вапцаров ""","3,65","26","4,49","1","2,95","1","","","3,45","2","","","","","3,96","19","4,71","3","","","","","","","","","","","3,99","26","3,82","52"
"Кърджали","Кирково","Кирково","909401","СРЕДНО УЧИЛИЩЕ ""ОТЕЦ ПАИСИЙ""","3,87","43","3,04","1","","","","","3,94","5","","","","","4,12","37","5,46","1","","","","","","","","","","","4,11","44","3,99","87"
"Кърджали","Кирково","Чорбаджийско","909403","СРЕДНО УЧИЛИЩЕ "" ХРИСТО БОТЕВ ""","3,91","21","3,48","1","","","","","3,31","13","","","5,24","1","4,18","5","5,88","2","","","","","","","","","","","3,83","22","3,87","43"
"Кърджали","Крумовград","Крумовград","909503","Професионална гимназия по транспорт ""Христо Смирненски""","2,96","24","","","","","","","2,46","9","","","","","","","","","","","","","","","","","","","2,46","9","2,82","33"
"Кърджали","Крумовград","Крумовград","909501","Средно училище ""Васил Левски""","4,31","72","2,64","2","5,82","5","","","3,55","11","5,99","2","","","4,66","43","5,65","9","","","","","","","","","","","4,68","72","4,49","144"
"Кърджали","Кърджали","Кърджали","909107","Профилирана гимназия с преподаване на чужди езици ""Христо Ботев""","4,72","165","4,59","26","5,37","3","","","3,41","7","","","3,57","3","4","17","5,2","68","","","5,12","38","","","4,51","3","","","4,85","165","4,78","330"
"Кърджали","Кърджали","Кърджали","909110","Професионална гимназия ""Васил Левски""","2,74","15","","","3,29","1","","","2,81","2","","","","","","","2,73","1","","","","","","","","","","","2,91","4","2,77","19"
"Кърджали","Кърджали","Кърджали","909112","Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""","3,6","32","3,13","3","","","","","2,86","17","","","","","3,62","3","4,53","11","","","3,73","1","","","","","","","3,5","35","3,55","67"
"Кърджали","Кърджали","Кърджали","909108","Професионална гимназия по икономика ""Алеко Константинов""","3,57","105","3,86","4","","","","","3,19","21","5,41","2","","","3,59","41","5,21","1","","","","","","","","","","","3,56","69","3,57","174"
"Кърджали","Кърджали","Кърджали","909111","Професионална гимназия по облекло и дизайн ""Евридика""","2,81","24","3,22","1","","","","","","","","","","","3,18","6","","","","","","","","","","","","","3,18","7","2,89","31"
