id,label
11129001,Началник на регионална дирекция за национален строителен контрол
11129002,Директор на Националния инспекторат по образованието
11136003,Традиционни старейшини и селски водачи/управници 
11146004,Висши представители на организации с нестопанска цел
11146005,"Президент, политическа партия"
11146006,"Председател, политическа партия"
11146007,"Ръководител, местна организация/политическа партия"
11149008,"Ръководител, контролен орган на партия"
11149009,"Съветник, политическа партия"
11149010,"Главен експерт, политическа партия"
11149011,"Експерт, политическа партия"
11149012,"Председател, организация на работодатели"
11149013,"Ръководител, контролен орган на организация на работодателите"
11149014,"Председател, организация на работниците и служителите"
11146015,"Президент, организация на работниците и служителите"
11149016,"Ръководител, контролен орган на организация на работниците и служителите"
11149017,"Заместник-председател, организация на работодатели"
11149018,"Вицепрезидент, организация на работодатели"
11149019,"Главен секретар, организация"
11149020,"Председател, браншови и регионални организации"
11149021,"Заместник-председател, организация на работниците и служителите"
11147022,"Вицепрезидент, организация на работниците и служителите"
11147023,"Изпълнителен директор, оранизация на работниците и служителите"
11149024,"Главен директор, организация на работниците и служителите"
11149025,"Директор, организация на работниците и служителите"
11149026,"Изпълнителен директор, организации с нестопанска цел/съсловни организации"
11149027,"Директор, организации с нестопанска цел/съсловни организации"
11149028,"Председател, организации с нестопанска цел/съсловни организации"
11149029,"Заместник-председател, организации с нестопанска цел/съсловни организации"
11149030,"Генерален секретар, организации с нестопанска цел/съсловни организации"
11149031,"Секретар, организации с нестопанска цел/съсловни организации"
11149032,"Ръководител, контролен орган на организации с нестопанска цел/съсловни организации"
11149033,Висш служител на друго регистрирано вероизповедание
11149034,Патриарх на Българската православна църква
11147035,Митрополит
11147036,Главен мюфтия
11144037,Епископ на Католическата църква в България
11145038,Председател на Български олимпийски комитет
11145039,"Председател, обществена организация"
11145040,"Заместник-председател, обществена организация"
11145041,Игумен на ставропигиален манастир
11145042,"Изпълнителен секретар, организация на работниците и служителите"
11145043,"Началник кабинет, организация на работниците и служителите"
11146044,"Парламентарен секретар, организация на работниците и служителите"
11145045,"Наименованието е преместено в единична група 2422, считано от 01.07.2011 г."
11140000,"Ръководител на Пресцентър, организация на работниците и служителите"
11140000,"Федерален секретар, браншова организация на работниците и служителите"
11147001,Главен секретар на СВ. Синод
11147002,"Национален секретар, организация на работниците и служителите"
01126003,Управляващи и изпълнителни директори 
11206004,Управляващи и изпълнителни директори 
11206005,Генерален директор 
11206006,Изпълнителен директор
11206007,"Изпълнителен директор/директор, лечебно заведение за болнична помощ"
11206008,"Ръководител, кооперативно предприятие"
11206009,"Директор, организация"
11207010,"Директор, предприятие"
11207011,"Директор, вестник"
11207012,"Директор, радио"
11206013,"Директор, телевизия"
11206014,"Директор, банка"
11207015,"Заместник-директор, банка"
11207016,Заместник-генерален директор
11207017,"Заместник-директор, организация"
11207018,"Заместник-директор, предприятие"
11207019,"Заместник-ръководител, кооперативно предприятие"
11207020,"Заместник-председател, управителен съвет/съвет на директорите, търговско дружество"
11207021,Заместник-изпълнителен директор
11207022,"Председател, управителен съвет (съвет на директорите) на търговско дружество"
11207023,"Председател, Надзорен съвет в търговско дружество"
11207024,"Член, съвет на директорите"
11207025,"Член, управителен съвет"
11207026,Прокурист (търговски управител)
11207027,Управител
11209028,"Управител, застрахователно дружество"
11209029,"Член, Надзорен съвет в търговско дружество"
11209030,Главно надзорно лице
11209031,Заместник-управител
11209032,"Заместник-председател управителен съвет, Централен кооперативен съюз"
11209033,"Заместник-председател, кооперативен съюз"
11209034,"Заместник-председател, кооперация"
11209035,"Председател, контролен съвет на кооперативен съюз"
11209036,"Председател, контролен съвет на Централен кооперативен съюз"
11209037,"Председател, кооперативен съюз"
11207038,"Председател, кооперация"
11209039,Председател на управителен съвет на Централен кооперативен съюз
11206040,"Ректор, висше училище"
11207041,"Заместник-ректор, висше училище"
11207042,"Помощник-ректор, висше училище"
11207043,Генерален директор на Българска телеграфна агенция
11207044,"Ръководител, отдел в транспорта и въздушното обслужване"
11207045,"Ръководител/директор, регионално поделение обслужване на въздушно движение"
11207046,"Заместник ръководител/директор, регионално поделение обслужване на въздушно движение"
11207047,"Ръководител/директор, обособено звено транспорт"
11206048,"Директор, обособено звено аеронавигационното в обслужване"
11206049,Регионален мениджър
11207050,"Управител, клон на търговско дружество"
11207051,"Ръководител във фармацевтичната компания, фармацевт"
11207052,Директор
11207053,Ректор на Духовната семинария
11206054,Директор регионално поделение
11200000,Програмен директор
11200000,"Главен архитект, община/район"
11200000,Член на Висшия съдебен съвет
11207001,Социален предприемач
00127002,АДМИНИСТРАТИВНИ РЪКОВОДИТЕЛИ И РЪКОВОДИТЕЛИ В ТЪРГОВСКИ ДРУЖЕСТВА
01216003,Ръководители в бизнес услугите и административните дейности
12116004,Ръководители на финансови дейности
12116005,Финансов директор
12116006,Финансов мениджър
12116007,"Управител, финансови дейности"
12116008,"Управител, счетоводни услуги"
12116009,"Ръководител, финансов отдел"
12110000,"Ръководител, финансов сектор"
12116001,"Ръководител, счетоводен отдел"
12116002,Директор за връзки с инвеститорите
12116003,Корпоративен секретар
12126004,Ръководители по управление на човешките ресурси
12126005,"Управител, човешки ресурси"
12126006,Директор/Мениджър човешки ресурси
12126007,"Ръководител, отдел човешки ресурси"
12120000,"Ръководител, сектор човешки ресурси"
12127001,"Ръководител, организация и ефективност на труда"
12127002,"Ръководител, набиране на персонал"
12127003,"Ръководител, здравословни и безопасни условия на труд"
12139004,Ръководители по политики и стратегическо планиране 
12139005,"Главен юрист, Българска народна банка"
12139006,"Главен касиер, Българска народна банка"
12137007,"Главен счетоводител, Българска народна банка"
12137008,"Член, Надзорен съвет на агенция"
12137009,"Член, Сметна палата"
12137010,"Член, държавна комисия"
12137011,"Директор дирекция, администрация на Президента"
12136012,"Директор дирекция, администрация"
12137013,"Директор дирекция, Сметна палата"
12137014,"Директор, областна администрация"
12137015,Директор на юридическо лице по чл. 60 от Закона за администрацията
12136016,"Директор дирекция, община"
12137017,Директор на дирекция в Столична община
12137018,"Директор дирекция, политики и стратегическо планиране"
12137019,Икономически директор
12137020,"Мениджър, корпоративно планиране"
